Fav,Reg,Dog,FavID,FavID2,Fav_elo,DogID,DogID2,Dog_elo,Season,Week
2,20,7,958,Marion Local,NA,1018,Miami East,NA,2007,11
3,20,6,462,Deer Park,NA,369,Cincinnati Hills Christian Academy,NA,2007,11
1,21,8,732,Hopewell-Loudon,NA,850,Leetonia,NA,2007,11
4,21,5,1058,Mogadore,NA,408,Columbiana,NA,2007,11
2,21,7,1374,St Paul,NA,1064,Monroeville,NA,2007,11
3,21,6,786,John F Kennedy,NA,992,McDonald,NA,2007,11
1,22,8,990,McComb,NA,343,Toledo Christian,NA,2007,11
4,22,5,136,Arlington,NA,722,Hilltop,NA,2007,11
2,22,7,316,Carey,NA,154,Ayersville,NA,2007,11
3,22,6,100,Ada,NA,126,Antwerp,NA,2007,11
1,23,8,1090,Newark Catholic,NA,204,Berne Union,NA,2007,11
4,23,5,454,Danville,NA,934,Malvern,NA,2007,11
2,23,7,1406,Shadyside,NA,326,Catholic Central,NA,2007,11
3,23,6,1306,River,NA,172,Beallsville,NA,2007,11
1,24,8,430,Covington,NA,1178,Notre Dame,NA,2007,11
4,24,5,886,Lockland,NA,852,Lehman Catholic,NA,2007,11
2,24,7,324,Catholic Central,NA,1642,Waynesfield-Goshen,NA,2007,11
3,24,6,484,Sciotoville Community School,NA,1004,Mechanicsburg,NA,2007,11
1,1,8,1354,St Ignatius,NA,1346,St Edward,NA,2008,11
4,1,5,652,Glenville,NA,248,Brecksville-Broadview Heights,NA,2008,11
2,1,7,1498,Strongsville,NA,540,Euclid,NA,2008,11
3,1,6,1016,Mentor,NA,1440,South,NA,2008,11
1,2,8,730,Hoover,NA,1624,Massillon Washington,NA,2008,11
4,2,5,350,Twinsburg,NA,1486,Steele,NA,2008,11
2,2,7,650,GlenOak,NA,306,Canton McKinley,NA,2008,11
3,2,6,268,Brunswick,NA,1116,Nordonia,NA,2008,11
1,3,8,716,Hilliard Davidson,NA,680,Grove City,NA,2008,11
4,3,5,258,Brookhaven,NA,1741,Worthington Kilbourne,NA,2008,11
2,3,7,1572,Upper Arlington,NA,970,Marysville,NA,2008,11
3,3,6,1254,Pickerington Central,NA,704,Delaware Hayes,NA,2008,11
1,4,8,396,Colerain,NA,1056,Archbishop Moeller,NA,2008,11
4,4,5,1638,Wayne,NA,1732,Woodward,NA,2008,11
2,4,7,1142,Northmont,NA,807,Kettering Fairmont,NA,2008,11
3,4,6,522,Elder,NA,336,Centerville,NA,2008,11
1,5,8,980,Mayfield,NA,1326,Roosevelt,NA,2008,11
4,5,5,736,Howland,NA,724,Archbishop Hoban,NA,2008,11
2,5,7,1410,Shaw,NA,922,Madison,NA,2008,11
3,5,6,1224,Padua Franciscan,NA,1522,Tallmadge,NA,2008,11
1,6,8,342,Central Catholic,NA,1203,Olentangy Liberty,NA,2008,11
4,6,5,710,Highland,NA,152,Avon Lake,NA,2008,11
2,6,7,1512,Sylvania Southview,NA,1202,Olentangy,NA,2008,11
3,6,6,856,Lexington,NA,390,Cloverleaf,NA,2008,11
1,7,8,1348,Columbus St Francis DeSales,NA,224,Bishop Watterson,NA,2008,11
4,7,5,962,Marion-Franklin,NA,186,Beechcroft,NA,2008,11
2,7,7,902,Louisville,NA,748,Independence,NA,2008,11
3,7,6,888,Logan,NA,486,Dublin Jerome,NA,2008,11
1,8,8,1719,Winton Woods,NA,476,Dunbar,NA,2008,11
4,8,5,1554,Turpin,NA,810,Kings,NA,2008,11
2,8,7,1528,Tecumseh,NA,1664,Western Brown,NA,2008,11
3,8,6,118,Anderson,NA,516,Edgewood,NA,2008,11
1,9,8,1614,Walsh Jesuit,NA,584,Field,NA,2008,11
4,9,5,860,Liberty,NA,346,Chagrin Falls,NA,2008,11
2,9,7,146,Aurora,NA,1180,Notre Dame-Cathedral Latin,NA,2008,11
3,9,6,738,Hubbard,NA,1281,Ravenna,NA,2008,11
1,10,8,150,Avon,NA,464,Defiance,NA,2008,11
4,10,5,190,Bellevue,NA,406,Columbian,NA,2008,11
2,10,7,392,Clyde,NA,214,Big Walnut,NA,2008,11
3,10,6,1534,Tippecanoe,NA,1012,Memorial,NA,2008,11
1,11,8,472,Dover,NA,1106,New Philadelphia,NA,2008,11
4,11,5,1432,Canton South,NA,1162,Northwest,NA,2008,11
2,11,7,870,Licking Valley,NA,282,Buckeye Local,NA,2008,11
3,11,6,1264,Poland Seminary,NA,666,Granville,NA,2008,11
1,12,8,1420,Sheridan,NA,608,Franklin,NA,2008,11
4,12,5,502,Eastmoor Academy,NA,1590,Valley View,NA,2008,11
2,12,7,890,Logan Elm,NA,212,Bexley,NA,2008,11
3,12,6,364,Chillicothe,NA,302,Canal Winchester,NA,2008,11
1,13,8,1488,Steubenville,NA,426,Coshocton,NA,2008,11
4,13,5,310,Cardinal Mooney,NA,448,Cuyahoga Valley Christian Academy,NA,2008,11
2,13,7,1560,Tuslaw,NA,818,LaBrae,NA,2008,11
3,13,6,1246,Perry,NA,1548,Triway,NA,2008,11
1,14,8,606,Fostoria,NA,712,Highland,NA,2008,11
4,14,5,636,Genoa Area,NA,746,Huron,NA,2008,11
2,14,7,380,Clearview,NA,1214,Ottawa-Glandorf,NA,2008,11
3,14,6,1260,Pleasant,NA,508,Eastwood,NA,2008,11
1,15,8,968,Martins Ferry,NA,218,Bishop Hartley,NA,2008,11
4,15,5,1566,Union Local,NA,1344,St Clairsville,NA,2008,11
2,15,7,1100,New Lexington,NA,1008,Meigs,NA,2008,11
3,15,6,760,Ironton,NA,1676,Westfall,NA,2008,11
1,16,8,394,Coldwater,NA,1134,North College Hill,NA,2008,11
4,16,5,796,Jonathan Alder,NA,1190,Oakwood,NA,2008,11
2,16,7,388,Clinton-Massie,NA,158,Badin,NA,2008,11
3,16,6,264,Brookville,NA,132,Archbishop Alter,NA,2008,11
1,17,8,1580,Ursuline,NA,446,Cuyahoga Heights,NA,2008,11
4,17,5,642,Gilmour Academy,NA,1174,Norwayne,NA,2008,11
2,17,7,436,Crestview,NA,1640,Waynedale,NA,2008,11
3,17,6,812,Kirtland,NA,1460,South Range,NA,2008,11
1,18,8,1234,Patrick Henry,NA,434,Crestview,NA,2008,11
4,18,5,572,Fairview,NA,1742,Wynford,NA,2008,11
2,18,7,862,Liberty-Benton,NA,772,Jefferson,NA,2008,11
3,18,6,864,Liberty Center,NA,134,Archbold,NA,2008,11
1,19,8,1270,Portsmouth West,NA,1300,Ridgewood,NA,2008,11
4,19,5,794,Johnstown-Monroe,NA,220,Bishop Ready,NA,2008,11
2,19,7,1696,Wheelersburg,NA,1048,Minford,NA,2008,11
3,19,6,1084,Nelsonville-York,NA,866,Liberty Union,NA,2008,11
1,20,8,369,Cincinnati Hills Christian Academy,NA,490,East Clinton,NA,2008,11
4,20,5,1682,West Jefferson,NA,1018,Miami East,NA,2008,11
2,20,7,120,Anna,NA,958,Marion Local,NA,2008,11
3,20,6,1644,Waynesville,NA,1688,West Liberty-Salem,NA,2008,11
1,21,8,732,Hopewell-Loudon,NA,408,Columbiana,NA,2008,11
4,21,5,1058,Mogadore,NA,850,Leetonia,NA,2008,11
2,21,7,1374,St Paul,NA,488,East Canton,NA,2008,11
3,21,6,992,McDonald,NA,1668,Western Reserve,NA,2008,11
1,22,8,100,Ada,NA,722,Hilltop,NA,2008,11
4,22,5,1228,Pandora-Gilboa,NA,1308,Riverdale,NA,2008,11
2,22,7,316,Carey,NA,990,McComb,NA,2008,11
3,22,6,1358,St John's,NA,136,Arlington,NA,2008,11
1,23,8,1306,River,NA,222,Bishop Rosecrans,NA,2008,11
4,23,5,1540,Trimble,NA,296,Caldwell,NA,2008,11
2,23,7,934,Malvern,NA,250,Bridgeport,NA,2008,11
3,23,6,1406,Shadyside,NA,172,Beallsville,NA,2008,11
1,24,8,1004,Mechanicsburg,NA,1104,New Miami,NA,2008,11
4,24,5,430,Covington,NA,886,Lockland,NA,2008,11
2,24,7,852,Lehman Catholic,NA,122,Ansonia,NA,2008,11
3,24,6,484,Sciotoville Community School,NA,324,Catholic Central,NA,2008,11
1,1,8,1354,St Ignatius,NA,238,Boardman,NA,2009,11
4,1,5,1154,North Royalton,NA,652,Glenville,NA,2009,11
2,1,7,1428,Solon,NA,540,Euclid,NA,2009,11
3,1,6,980,Mayfield,NA,1232,Parma,NA,2009,11
1,2,8,1704,Whitmer,NA,306,Canton McKinley,NA,2009,11
4,2,5,650,GlenOak,NA,1606,Wadsworth,NA,2009,11
2,2,7,350,Twinsburg,NA,268,Brunswick,NA,2009,11
3,2,6,1624,Massillon Washington,NA,730,Hoover,NA,2009,11
1,3,8,474,Dublin Coffman,NA,1480,Springfield,NA,2009,11
4,3,5,1674,Westerville South,NA,1203,Olentangy Liberty,NA,2009,11
2,3,7,716,Hilliard Davidson,NA,838,Lancaster,NA,2009,11
3,3,6,1254,Pickerington Central,NA,1255,Pickerington North,NA,2009,11
1,4,8,1388,St Xavier,NA,336,Centerville,NA,2009,11
4,4,5,522,Elder,NA,1638,Wayne,NA,2009,11
2,4,7,1056,Archbishop Moeller,NA,1026,Middletown,NA,2009,11
3,4,6,118,Anderson,NA,837,Lakota West,NA,2009,11
1,5,8,824,Lake Catholic,NA,1281,Ravenna,NA,2009,11
4,5,5,304,Canfield,NA,146,Aurora,NA,2009,11
2,5,7,736,Howland,NA,710,Highland,NA,2009,11
3,5,6,138,Ashland,NA,1678,West Geauga,NA,2009,11
1,6,8,1350,Toledo St Francis DeSales,NA,1152,North Ridgeville,NA,2009,11
4,6,5,976,Maumee,NA,152,Avon Lake,NA,2009,11
2,6,7,342,Central Catholic,NA,1320,Rocky River,NA,2009,11
3,6,6,1324,Rogers,NA,944,Maple Heights,NA,2009,11
1,7,8,902,Louisville,NA,962,Marion-Franklin,NA,2009,11
4,7,5,1211,Olentangy Orange,NA,1544,Tri-Valley,NA,2009,11
2,7,7,888,Logan,NA,302,Canal Winchester,NA,2009,11
3,7,6,258,Brookhaven,NA,1612,Walnut Ridge,NA,2009,11
1,8,8,1554,Turpin,NA,1714,Wilmington,NA,2009,11
4,8,5,1550,Trotwood-Madison,NA,1074,Mount Healthy,NA,2009,11
2,8,7,1719,Winton Woods,NA,1330,Ross,NA,2009,11
3,8,6,1528,Tecumseh,NA,1660,West Carrollton,NA,2009,11
1,9,8,310,Cardinal Mooney,NA,584,Field,NA,2009,11
4,9,5,738,Hubbard,NA,276,Buckeye,NA,2009,11
2,9,7,1264,Poland Seminary,NA,1384,St Vincent-St Mary,NA,2009,11
3,9,6,724,Archbishop Hoban,NA,1224,Padua Franciscan,NA,2009,11
1,10,8,1348,Columbus St Francis DeSales,NA,272,Bryan,NA,2009,11
4,10,5,1240,Perkins,NA,1534,Tippecanoe,NA,2009,11
2,10,7,224,Bishop Watterson,NA,188,Bellefontaine,NA,2009,11
3,10,6,1080,Napoleon,NA,502,Eastmoor Academy,NA,2009,11
1,11,8,1488,Steubenville,NA,964,Marlington,NA,2009,11
4,11,5,666,Granville,NA,1392,Salem,NA,2009,11
2,11,7,472,Dover,NA,294,Harrison Central,NA,2009,11
3,11,6,282,Buckeye Local,NA,1162,Northwest,NA,2009,11
1,12,8,658,Goshen,NA,1414,Shawnee,NA,2009,11
4,12,5,890,Logan Elm,NA,1108,New Richmond,NA,2009,11
2,12,7,1744,Wyoming,NA,510,Eaton,NA,2009,11
3,12,6,352,Chaminade-Julienne,NA,1062,Lemon-Monroe,NA,2009,11
1,13,8,346,Chagrin Falls,NA,1010,Memorial,NA,2009,11
4,13,5,936,Manchester,NA,828,Lakeview,NA,2009,11
2,13,7,644,Girard,NA,448,Cuyahoga Valley Christian Academy,NA,2009,11
3,13,6,968,Martins Ferry,NA,1724,Woodridge,NA,2009,11
1,14,8,620,Galion,NA,508,Eastwood,NA,2009,11
4,14,5,1548,Triway,NA,1214,Ottawa-Glandorf,NA,2009,11
2,14,7,636,Genoa Area,NA,518,Edison,NA,2009,11
3,14,6,1210,Orrville,NA,378,Clear Fork,NA,2009,11
1,15,8,114,Amanda-Clearcreek,NA,108,Alexander,NA,2009,11
4,15,5,1690,West Muskingum,NA,426,Coshocton,NA,2009,11
2,15,7,760,Ironton,NA,712,Highland,NA,2009,11
3,15,6,706,Heath,NA,1752,Zane Trace,NA,2009,11
1,16,8,388,Clinton-Massie,NA,1644,Waynesville,NA,2009,11
4,16,5,804,Kenton,NA,1590,Valley View,NA,2009,11
2,16,7,132,Archbishop Alter,NA,796,Jonathan Alder,NA,2009,11
3,16,6,1134,North College Hill,NA,318,Carlisle,NA,2009,11
