,V1,V2,V3,V4,V5,V6,V7
Stadium/pages/1490.txt,Spartan Stadium,,"7777 Glenwood Ave -- Boardman, Ohio  44512",Boardman High School,7500,Artificial,Boardman Spartans
Stadium/pages/1491.txt,Cavalier Stadium,,"480 Butler St -- Coldwater, Ohio  45828",Coldwater Exempted Village,3500,Grass,Coldwater Cavaliers
Stadium/pages/1492.txt,Central Catholic Stadium,Lowell Klinefelter Field,"1 -- Canton, Ohio  44708",Central Catholic High School,5000,Artificial,Central Catholic Crusaders
Stadium/pages/1493.txt,Jack Mollenkopf Stadium,,"301 Morrison Drive -- Toledo, Ohio  43605",Toledo City Schools,8000,Grass,Waite Indians
Stadium/pages/1494.txt,Atrium Stadium,Dwire Field,"694 S Mason-Montgomery Rd -- Mason, Ohio  45040",Mason City School,6000,Artificial,Mason Comets
Stadium/pages/1495.txt,Jack Ryan Field,,"1285 Zettler Road -- Columbus, Ohio  43227",Bishop Hartley High School,3600,Artificial,Bishop Hartley Hawks
Stadium/pages/1498.txt,Rossiaky Stadium,,"484 East Ave -- Tallmadge, Ohio  44278",Tallmadge City School District,2000,Grass,Tallmadge Bule Devils
Stadium/pages/1499.txt,Sparky DiBiasio Stadium,,"22800 Tracy Ave -- Euclid, Ohio  44123",Euclid City Schools,3800,Grass,"Euclid Panthers,_Villa Angela Saint Joseph"
Stadium/pages/1500.txt,Ironton Tanks Memorial Stadium,Bob Lutz Field,"1701 S. 7th Street -- Ironton, Ohio  45638",Ironton City Schools,3400,Grass,Ironton Fighting Tigers
Stadium/pages/1501.txt,Reilly Stadium,,"491 Reilly Avenue -- Salem, Ohio  44460",Salem City School,4220,Artificial,Salem Quakers
Stadium/pages/1502.txt,Heidkamp Stadium,Good Samaritan Athletic Field,"5400 Chambersburg Rd -- Huber Heights, Ohio  45424",Huber Heights City Schools,6800,Artificial,Wayne Warriors
Stadium/pages/1503.txt,Jack Lambert Stadium,,"1000 Ma St 3 -- Mantua, Ohio  44255",Crestwood Local School District,2300,Grass,Crestwood Rd Devils
Stadium/pages/1504.txt,Don Paul Stadium,Harmon Field,"1072 Miller St. -- Fremont, Ohio  43420",Fremont Schools,3400,Artificial,"Fremont Ross Little Giants,_St. Joseph Central Catholic Crimson Streak"
Stadium/pages/1505.txt,Clinton Heacock Stadium,,"14277 Main St. -- Beloit, Ohio  44609",West Branch School District,4000,Grass,Photo Credit:_flickr.com/Sykotyk/sets/_West Branch Warriors
Stadium/pages/1506.txt,Robert Fife Stadium,,"7355 Mudbrook Drive NW -- Massillon, Ohio  44646",Jackson Local Schools,5000,Artificial,Jackson Polar Bears
Stadium/pages/1507.txt,Charles L. Brown Stadium,,"7560 Forest Road -- Cincinnati, Ohio  45255",Forest Hills Local Schools,2882,Artificial,Anderson Redskins
Stadium/pages/1508.txt,Mount Union Stadium,,"480 West Hartshorn Street -- Alliance, Ohio  44601",University of Mount Union,5611,Fair,"Mount Union Raiders,_Alliance Aviators"
Stadium/pages/1509.txt,Fred Brideweser Stadium,,"11885 Navarre Road SW -- Navarre, Ohio  44662",Fairless Local School District.,3000,Grass,Fairless Falcon
Stadium/pages/1510.txt,GlenOak Stadium,Bob Commings Field,"1801 Schneider Street NE -- Canton, Ohio  44721",Plain Local School District,6000,Artificial,GlenOak Golden Eagles
