"Season","Week","Tm_ID","Opp_ID","Loc","Result","Notes","Date","Playoff","Tm_score","Opp_score","Opp_Div","Score_diff","Win","Cal_Week","Multi_Week","Excl_Harbin","Excl_Elo","Opp_Reg","nonOHSAA","nonOHSAA_div","Tm_lon","Tm_lat","Opp_lon","Opp_lat","trav_est"
"2013",4,"10018","10045","A","C*","cancelled",2013-09-20,0,NA,NA,7,NA,0,"37",NA,1,1,"0",1,"7",NA,NA,NA,NA,NA
"2013",5,"10018","1362","A","W","",2013-09-28,0,40,6,7,34,1,"38",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",6,"10018","10123","H","W","",2013-10-07,0,45,22,7,23,1,"39",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",8,"10018","10013","A","W","",2013-10-18,0,40,20,7,20,1,"41",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",9,"10018","10124","H","W","",2013-10-25,0,50,22,7,28,1,"42",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",10,"10018","10078","H","W","",2013-11-01,0,36,34,7,2,1,"43",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",11,"10018","10059","H","L*","",2013-11-08,0,6,35,7,-29,0,"44",NA,1,0,"0",1,"6",NA,NA,NA,NA,NA
"2013",1,"10019","10111","H","W","",2013-08-30,0,20,6,6,14,1,"34",NA,0,0,"",1,"6",NA,NA,NA,NA,NA
"2013",2,"10019","10119","A","W","",2013-09-06,0,26,12,6,14,1,"35",NA,0,0,"",1,"6",NA,NA,NA,NA,NA
"2013",3,"10019","10012","H","W","",2013-09-13,0,45,8,6,37,1,"36",NA,0,0,"",1,"6",NA,NA,NA,NA,NA
"2013",4,"10019","10134","H","W","",2013-09-20,0,18,16,6,2,1,"37",NA,0,0,"",1,"6",NA,NA,NA,NA,NA
"2013",5,"10019","10099","A","L","",2013-09-27,0,22,33,6,-11,0,"38",NA,0,0,"",1,"6",NA,NA,NA,NA,NA
"2013",6,"10019","10084","A","L","",2013-10-05,0,6,15,6,-9,0,"39",NA,0,0,"",1,"6",NA,NA,NA,NA,NA
"2013",7,"10019","10032","A","W","",2013-10-11,0,46,22,6,24,1,"40",NA,0,0,"",1,"6",NA,NA,NA,NA,NA
"2013",8,"10019","494","A","W","",2013-10-18,0,15,6,6,9,1,"41",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",9,"10019","10123","H","W","",2013-10-25,0,48,22,6,26,1,"42",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",11,"10019","10105","H","L*","",2013-11-08,0,0,21,6,-21,0,"44",NA,1,0,"",1,"6",NA,NA,NA,NA,NA
"2013",1,"10040","10123","A","L","",2013-08-30,0,8,41,7,-33,0,"34",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",2,"10040","10045","A","W","",2013-09-07,0,56,0,7,56,1,"35",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",3,"10040","578","A","L","",2013-09-13,0,0,60,7,-60,0,"36",NA,0,0,"21",0,NA,NA,NA,NA,NA,NA
"2013",4,"10040","10108","A","L","",2013-09-20,0,6,56,7,-50,0,"37",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",6,"10040","1036","H","L","",2013-10-04,0,20,26,7,-6,0,"39",NA,0,0,"25",0,NA,NA,NA,NA,NA,NA
"2013",7,"10040","14305","H","L","",2013-10-11,0,0,40,7,-40,0,"40",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",8,"10040","10032","A","L","",2013-10-18,0,8,64,7,-56,0,"41",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",9,"10040","10067","H","L","",2013-10-25,0,12,45,7,-33,0,"42",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",10,"10040","10069","H","L","",2013-11-01,0,0,15,7,-15,0,"43",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",11,"10040","10045","H","W*","",2013-11-09,0,46,0,7,46,1,"44",NA,1,0,"0",1,"7",NA,NA,NA,NA,NA
"2013",1,"10045","10069","A","L","",2013-08-31,0,0,48,7,-48,0,"34",NA,0,0,"",1,"7",NA,NA,NA,NA,NA
"2013",2,"10045","10040","H","L","",2013-09-07,0,0,56,7,-56,0,"35",NA,0,0,"0",1,"7",NA,NA,NA,NA,NA
