"Tm_ID","mxp_ID"
694,"859f0c23-b36b-4490-ad9e-0b518ffb7d3f"
1468,"c9fda3b3-8850-4ec5-a6ab-28b6d19e9cf2"
412,"0668b846-381c-42e5-8a77-d2eeede7e1b1"
343,"a6946009-e4a9-467f-84c1-4951fa9bb721"
236,"c5446a25-b28a-4e19-b4ce-871d38253f1c"
1236,"4bf4089e-2920-44d5-84c2-1ad76f2b5d9d"
438,"69b9980a-4fd9-40c5-9903-9ff0f18a6868"
110,"895bd32f-e485-492b-9b56-419bf641be1b"
772,"b6daf1d4-9342-4180-b799-20d1ba9a53ed"
874,"c825193e-d94e-4981-aea8-89bbf8345fc0"
854,"1817dc67-4c05-4083-b2ea-65e6eda3901b"
1358,"403bf27e-a130-4a9b-b88e-94fd6eaf2ca1"
1576,"218c9d6a-e758-4ade-a643-a4c2e47dae29"
1562,"e4ae4c56-fd63-4cd9-ab83-b543fa0f24ba"
958,"f32f5693-3a16-432b-a596-fb6686b9c1cd"
1642,"a603f45e-63fe-4c47-9062-c3c26300f4f2"
1352,"282a179a-c141-4af9-a53b-52a03cba7ae3"
490,"f2d5ee0f-0bae-4019-a2be-69181f446cc8"
602,"fed7109b-de97-4696-9201-e9fb53774cfb"
1646,"0fddf5f4-1a69-4ca3-8885-ce258452a335"
136,"da3feb24-7fad-4950-af38-690397ff766a"
1310,"ec118d92-00c5-4d3c-9d11-a40bf21b61f5"
604,"35bc93f6-bb8c-40c6-8aa6-baae21440fa6"
862,"355662cb-5ce6-4c5b-a8eb-9565f06eaebe"
126,"029346a3-8cb0-4fff-925a-bf4fb94be261"
154,"a6c1a505-94aa-450a-89f5-92a280d9c875"
732,"3a67e489-a3ff-4fd5-8337-6f728825fdb2"
722,"7e0d92ee-1840-474f-8bed-d89d892ebc1b"
1228,"f3765b32-1fd3-427c-aabf-0e2ae77ef84c"
424,"38b052e7-08bb-4f2d-af14-30f38bd23fe3"
316,"a8b1f328-38ca-4128-9611-44aa11db65e3"
988,"2e467cb0-c5ae-4d40-a2c5-d64f3df7ac28"
1626,"fda0775b-5891-459e-8972-9d4300f769cb"
1752,"22f08951-2987-4bc3-94fc-5d2dc53a518d"
1450,"84e2e09f-064c-4ccb-a3fa-c51fcac5fa85"
1226,"4cef357a-de3c-4783-817c-93be6fcaf6a5"
1568,"808516d1-2ef9-4796-b756-1feabcf1331f"
1676,"59513ab6-4c6e-41be-964a-cfcf3c6dc89c"
1256,"6a587fd0-9c76-4508-bc83-cdef8088120e"
744,"f3dac743-3e3b-42b0-b8a3-a57c49ebfd27"
1682,"327e48d8-47b8-418a-9067-6a2809514351"
816,"6a0a6cea-5c9b-445e-aa92-445fc9b4b0b4"
554,"ea02645b-84f1-497e-8fca-ec0f30eac3bd"
1284,"e059855f-67b9-4586-8d6e-d3bf5e776e44"
1652,"40d985b3-7e94-40b4-acaf-6a5a969ba30d"
1004,"80715b73-f43a-4de9-b8f7-a6a0113ba46d"
212,"2ee998dc-0107-4352-a3d3-a57073bb4b3a"
10200,"847e9975-4e07-4a6c-94e3-a9f4cac6a108"
1178,"44020a08-2358-4f5a-9a2f-ab0650c2db75"
252,"95208193-9e33-49a6-b49b-7ece40255664"
1656,"f445b38b-8bcc-4dab-8893-67686bd4c2ac"
962,"9a6d2fb4-633b-4d27-b19b-6f648cc9e48d"
748,"87542c0d-2805-4f18-ac19-2e1e3dd5f3fc"
1436,"6f1ac05f-5267-4c5d-a610-776ea6d803bc"
1612,"8c6d13f9-5346-4595-98e8-0c5aaefcdcae"
502,"5e6674d4-a288-493d-864a-5ae9a0eb6307"
1737,"48870e9b-6709-4294-90a8-26b97b647188"
482,"de67a66e-31c8-4d5b-8c61-4f426bfffa35"
