OHSAA.ID,DoE_IRN,School District,Status,Total,Male%,HS_Students,OHSAA_Est,nonWhite%,EconDis%, Cost ,Direction,FootballTwitter,Census_GeoID,Median Inc,Total POP,Urban,Suburban,Rural
172,1883,Switzerland of Ohio Local,Open,2176,50.60%,695,267,2.40%,57.80%,,70 miles south of downtown Canton,,3904865," $41,286 ",9324,0.0%,1.9%,98.1%
176,1958,Beaver Local,Open,1827,51.60%,580,229,2.70%,39.50%,,28 miles south of downtown Youngstown,@BeaverFB_JUICE,3904642," $50,747 ",5834,0.0%,29.5%,70.5%
178,1966,Beavercreek City,Open,7885,52.00%,2380,954,18.50%,12.00%,,10 miles east of downtown Dayton,@BeaverCreekFB ? ,3904724," $85,019 ",22878,96.9%,0.0%,3.1%
180,2022,Bedford City,Open,3226,52.20%,1027,414,91.40%,61.20%,,12 miles southeast of downtown Cleveland,@BedfordBearcats,3910017," $42,879 ",15318,98.5%,0.0%,1.5%
182,2139,Bellaire Local,Open,1158,53.50%,319,134,9.90%,55.20%,,65 miles southeast of downtown Canton,,3904357," $40,242 ",4842,53.4%,0.0%,46.6%
184,2154,Bellbrook-Sugarcreek Local,Open,2582,50.30%,816,315,13.40%,13.20%,,11 miles southeast of downtown Dayton,,3904727," $88,389 ",5950,77.0%,0.0%,23.0%
186,68528,Columbus City School District,Open,50304,51.40%,13226,5604,77.00%,100.00%,,10 miles north of downtown Columbus,@croft_football,3904380," $40,516 ",248000,99.9%,0.0%,0.1%
188,2220,Bellefontaine City,Open,2350,53.20%,712,289,17.40%,46.00%,,48 miles northeast of downtown Dayton,,3904358," $45,374 ",6968,0.0%,87.0%,13.0%
190,2246,Bellevue City,Open,1918,51.40%,606,242,9.60%,38.90%,,46 miles southeast of downtown Toledo,,3904359," $58,997 ",5760,0.0%,65.1%,34.9%
192,2303,Dayton City,Open,13093,51.10%,3838,1554,74.50%,100.00%,,4 miles southeast of downtown Dayton,,3904384," $28,347 ",80910,100.0%,0.0%,0.0%
194,2337,Belpre City,Open,966,48.70%,250,100,10.00%,57.90%,,89 miles southeast of downtown Columbus,,3904361," $39,014 ",4378,80.9%,0.0%,19.1%
196,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$9,500 ",6 miles east of downtown Cleveland,@BeneBengalsFB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
198,21220,Benjamin Logan Local,Open,1691,49.70%,505,197,6.90%,18.60%,,48 miles northwest of downtown Columbus,,3904807," $64,885 ",4636,0.0%,0.7%,99.3%
200,024570/011908,Berea City,Open,6198,52.30%,1914,767,25.20%,30.80%,,14 miles southwest of downtown Cleveland,,3904360," $53,278 ",23423,100.0%,0.0%,0.0%
202,2436,Berkshire Local,Open,1253,51.80%,414,163,4.00%,20.30%,,30 miles east of downtown Cleveland,,3904716," $59,794 ",3578,0.0%,19.8%,80.2%
204,2501,Berne Union Local,Open,860,52.00%,268,108,4.70%,51.20%,,34 miles southeast of downtown Columbus,@BerneFootball,3904685," $55,529 ",2079,0.0%,10.1%,89.9%
206,2576,Bethel Local,Open,1317,51.80%,357,150,6.70%,23.10%,,14 miles northeast of downtown Dayton,@BETHELBEESFBALL,3904861," $76,630 ",2302,20.3%,0.0%,79.7%
208,2568,Bethel-Tate Local,Open,1544,51.70%,424,179,3.60%,34.70%,,23 miles east of downtown Cincinnati,,3904631," $55,361 ",3858,0.2%,36.2%,63.7%
212,2675,Bexley City,Open,2384,49.60%,720,281,17.40%,8.20%,,5 miles east of downtown Columbus,@BexleyFootball,3904362," $101,736 ",5041,100.0%,0.0%,0.0%
214,2709,Big Walnut Local,Open,3624,53.40%,964,395,7.70%,14.10%,,21 miles northeast of downtown Columbus,,3904674," $82,371 ",7058,37.8%,0.0%,62.2%
218,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$9,180 ",6 miles east of downtown Columbus,@HartleyFootball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
220,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$9,000 ",7 miles west of downtown Columbus,@BRHSFootball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
222,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$7,650 ",53 miles east of downtown Columbus,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
224,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$9,370 ",7 miles north of downtown Columbus,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
226,2782,Black River Local,Open,1133,51.30%,328,133,4.10%,36.20%,,35 miles west of downtown Akron,@BRFootball_,3904846," $54,679 ",3697,0.0%,0.0%,100.0%
228,2840,Blanchester Local,Open,1574,52.30%,434,167,3.90%,44.90%,,33 miles east of downtown Cincinnati,,3904638," $47,500 ",3729,0.0%,49.0%,51.0%
232,4994,Bloom-Carroll Local,Open,2014,51.30%,588,222,5.30%,17.30%,,21 miles southeast of downtown Columbus,@BC_BULLDOG_FB,3904686," $82,744 ",4033,13.6%,0.0%,86.3%
236,3038,Bluffton Exempted Village,Open,1147,51.70%,312,124,6.50%,17.00%,,57 miles southwest of downtown Toledo,,3904521," $67,690 ",2552,0.0%,60.1%,39.9%
238,3061,Boardman Local,Open,4135,52.70%,1252,505,26.30%,41.60%,,8 miles south of downtown Youngstown,,3904830," $51,148 ",18016,98.5%,0.0%,1.5%
242,3285,Bowling Green City School District,Open,3021,51.00%,855,349,21.10%,38.30%,,21 miles southwest of downtown Toledo,,3904363," $38,834 ",14569,0.0%,86.4%,13.6%
244,3301,Toledo City,Open,23123,52.80%,6515,2742,65.50%,85.20%,,5 miles southwest of downtown Toledo,,3904490," $32,298 ",111407,99.7%,0.0%,0.3%
246,3376,Bradford Exempted Village,Open,468,51.70%,117,49,1.10%,42.30%,,31 miles northwest of downtown Dayton,,3904522," $52,292 ",1316,0.0%,0.0%,100.0%
248,3467,Brecksville-Broadview Heights City,Open,3789,52.60%,1329,536,16.70%,11.70%,,14 miles south of downtown Cleveland,@BBHFootball,3904364," $81,779 ",11393,94.9%,0.0%,5.1%
250,3558,Bridgeport Exempted Village,Open,777,49.90%,212,72,13.60%,54.60%,,61 miles southeast of downtown Canton,@BPTfootball,3904523," $33,029 ",3373,73.4%,0.0%,26.6%
