OHSAA.ID,DoE_IRN,School District,Status,Total,Male%,HS_Students,OHSAA_Est,nonWhite%,EconDis%, Cost ,Direction,FootballTwitter,Census_GeoID,Median Inc,Total POP,Urban,Suburban,Rural
422,7310,Copley-Fairlawn City,Open,2826,52.90%,1023,399,25.90%,0.20%,,9 miles west of downtown Akron,@CopleyFootball,3904998," $68,960 ",9764,91.2%,0.0%,8.8%
424,7401,Cory-Rawson Local,Open,554,46.20%,187,63,7.80%,36.10%,,53 miles south of downtown Toledo,@CRHornetsFB,3904743," $59,568 ",1575,0.0%,1.3%,98.7%
426,7427,Coshocton City,Open,1516,54.00%,370,161,9.80%,99.60%,,46 miles southwest of downtown Canton,,3904382," $35,983 ",5578,0.0%,91.3%,8.7%
428,7286,Coventry Local,Open,1950,52.80%,679,279,12.30%,42.70%,,6 miles southwest of downtown Akron,,3904999," $57,134 ",6493,99.8%,0.0%,0.2%
430,7534,Covington Exempted Village,Open,794,53.10%,249,108,5.70%,33.10%,,27 miles north of downtown Dayton,@CHSBuccsFBall,3904533," $51,232 ",2086,0.0%,58.1%,41.9%
432,7617,Crestline Exempted Village,Open,615,51.50%,160,65,8.90%,95.10%,,60 miles north of downtown Columbus,,3910008," $37,037 ",2502,0.0%,88.4%,11.6%
434,7674,Crestview Local,Open,1262,50.20%,379,150,1.40%,38.80%,,52 miles west of downtown Akron,,3904643," $56,756 ",2399,0.0%,29.9%,70.1%
436,7658,Crestview Local,Open,1262,50.20%,379,150,1.40%,38.80%,,19 miles south of downtown Youngstown,@CviewRebel_FB,3904643," $56,756 ",2399,0.0%,29.9%,70.1%
438,7666,Crestview Local,Open,1262,50.20%,379,150,1.40%,38.80%,,80 miles southwest of downtown Toledo,@CrestviewFB,3904643," $56,756 ",2399,0.0%,29.9%,70.1%
440,7724,Crestwood Local,Open,1704,48.30%,490,179,3.80%,26.40%,,23 miles northeast of downtown Akron,@cwoodftball,3904918," $59,014 ",5547,9.9%,3.7%,86.4%
442,7823,Crooksville Exempted Village,Open,1083,48.70%,307,114,1.90%,100.00%,,51 miles east of downtown Columbus,,3904535," $38,889 ",2308,0.0%,52.2%,47.8%
444,7930,Cuyahoga Falls City,Open,4776,49.60%,1510,576,18.20%,42.30%,,7 miles northeast of downtown Akron,,3904383," $51,622 ",19779,100.0%,0.0%,0.0%
446,7955,Cuyahoga Heights Local,Open,761,51.40%,243,91,9.70%,18.30%,,7 miles southeast of downtown Cleveland,,3904655," $68,125 ",1692,97.2%,0.0%,2.8%
448,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$9,325 ",10 miles north of downtown Akron,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
450,8003,Dalton Local,Open,858,54.20%,235,93,7.30%,23.30%,,18 miles west of downtown Canton,,3905054," $59,280 ",2632,0.0%,40.1%,59.9%
452,8052,Danbury Local,Open,550,49.10%,155,57,7.30%,26.50%,,43 miles east of downtown Toledo,,3904893," $46,024 ",6489,0.0%,63.1%,36.9%
454,8086,Danville Local,Open,619,50.10%,160,61,6.10%,41.40%,,52 miles northeast of downtown Columbus,@DanvilleFootbal,3904783," $45,938 ",1516,0.0%,0.0%,100.0%
456,8136,Lisbon Exempted Village,Open,895,52.10%,264,105,3.80%,49.50%,,25 miles south of downtown Youngstown,,3904545," $43,157 ",2597,0.0%,55.3%,44.7%
458,8219,Dawson-Bryant Local,Open,1106,51.30%,278,100,1.40%,99.80%,,104 miles south of downtown Columbus,,3904792," $46,382 ",2745,36.2%,0.0%,63.8%
460,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$8,900 ",12 miles south of downtown Dayton,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
462,8250,Deer Park Community City,Open,1223,49.30%,341,131,26.70%,39.70%,,11 miles northeast of downtown Cincinnati,,3904385," $52,235 ",6054,100.0%,0.0%,0.0%
464,8300,Defiance City,Open,2451,51.80%,728,290,33.10%,53.20%,,52 miles southwest of downtown Toledo,@DefiFootball,3904386," $45,512 ",7538,0.0%,88.9%,11.1%
466,8342,Pike-Delta-York Local,Open,1230,50.90%,329,126,8.50%,37.70%,,26 miles west of downtown Toledo,@Delta_VarsityFB,3904708," $59,036 ",3224,0.0%,40.6%,59.4%
470,8532,New Lebanon Local,Open,1086,50.60%,304,124,4.20%,47.10%,,12 miles west of downtown Dayton,,3904871," $44,844 ",3007,0.0%,56.5%,43.5%
472,8722,Dover City,Open,2745,52.90%,833,352,14.80%,31.70%,,21 miles south of downtown Canton,@DoverOHFootball,3904389," $48,732 ",7490,0.0%,83.2%,16.8%
474,64758,Dublin City,Open,16086,51.80%,4860,1924,38.70%,11.60%,,14 miles northwest of downtown Columbus,@coffmanfootball,3904702," $86,210 ",32980,98.6%,0.0%,1.4%
475,120485,Dublin City,Open,16086,51.80%,4860,1924,38.70%,11.60%,,14 miles northwest of downtown Columbus,@sciotofootball,3904702," $86,210 ",32980,98.6%,0.0%,1.4%
476,8821,Dayton City,Open,13093,51.10%,3838,1554,74.50%,100.00%,,4 miles southwest of downtown Dayton,,3904384," $28,347 ",80910,100.0%,0.0%,0.0%
478,9498,Akron City,Open,21367,51.10%,6531,2447,66.70%,100.00%,,4 miles east of downtown Akron,,3904348," $34,562 ",91279,100.0%,0.0%,0.0%
480,NA,Cleveland Municipal,????,38666,51.60%,11963,4847,84.30%,100.00%,,NA,,3904378," $26,647 ",208325,100.0%,0.0%,0.0%
482,9514,Columbus City School District,Open,50304,51.40%,13226,5604,77.00%,100.00%,,3 miles east of downtown Columbus,@EastTigersFB,3904380," $40,516 ",248000,99.9%,0.0%,0.1%
483,31138,Youngstown City,Open,5224,52.70%,1421,566,85.50%,100.00%,,3 miles east of downtown Youngstown,,3904516," $25,063 ",34182,98.2%,0.0%,1.8%
484,143644,Charter,Open,378,52.40%,115,49,6.30%,66.90%,,85 miles south of downtown Columbus,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
486,146928,Dublin City,Open,16086,51.80%,4860,1924,38.70%,11.60%,,17 miles northwest of downtown Columbus,@CeltsFootball,3904702," $86,210 ",32980,98.6%,0.0%,1.4%
488,8961,Osnaburg Local,Open,855,52.00%,267,110,6.50%,44.70%,,6 miles east of downtown Canton,@ECHornetsFB,3904991," $53,923 ",2274,43.9%,0.0%,56.1%
490,8995,East Clinton Local,Open,1293,54.90%,334,137,5.00%,50.30%,,38 miles southeast of downtown Dayton,,3904640," $44,769 ",3410,0.0%,33.3%,66.7%
492,9589,Eastern Local School District,Open,801,50.70%,187,79,4.70%,100.00%,,67 miles south of downtown Columbus,,3904851," $47,490 ",2422,0.0%,0.0%,100.0%
494,9571,Eastern Local,Open,1297,50.40%,371,152,3.20%,52.40%,,83 miles southeast of downtown Columbus,,3904851," $47,490 ",2422,0.0%,0.0%,100.0%
498,9043,East Knox Local,Open,906,54.30%,280,123,5.00%,36.60%,,47 miles northeast of downtown Columbus,,3910013," $53,661 ",4303,0.0%,55.6%,44.4%
500,9084,East Liverpool City,Open,2112,53.10%,579,235,14.70%,91.10%,,34 miles south of downtown Youngstown,,3904391," $36,817 ",7819,0.0%,97.6%,2.4%
502,138198,Columbus City School District,Open,50304,51.40%,13226,5604,77.00%,100.00%,,6 miles east of downtown Columbus,,3904380," $40,516 ",248000,99.9%,0.0%,0.1%
504,9134,East Palestine City,Open,1098,51.20%,345,134,5.40%,53.00%,,20 miles south of downtown Youngstown,,3904392," $41,483 ",3623,0.0%,61.4%,38.6%
506,009555/012353,Cleveland Municipal,Open,38666,51.60%,11963,4847,84.30%,100.00%,,4 miles east of downtown Cleveland,,3904378," $26,647 ",208325,100.0%,0.0%,0.0%
508,9779,Eastwood Local,Open,1436,49.50%,408,159,8.80%,21.80%,,17 miles south of downtown Toledo,@EastwoodFB,3905067," $56,982 ",3622,1.7%,0.0%,98.3%
510,9803,Eaton Community City,Open,1963,49.30%,537,215,6.90%,37.60%,,25 miles west of downtown Dayton,@EatonEaglesFB,3904393," $46,851 ",6224,0.0%,75.8%,24.2%
512,9894,Edgerton Local,Open,601,48.60%,185,75,8.50%,37.10%,,66 miles west of downtown Toledo,,3905061," $52,151 ",1663,0.0%,0.0%,100.0%
514,9936,Buckeye Local,Open,1740,50.70%,479,193,13.60%,56.10%,,56 miles north of downtown Youngstown,@EdgewoodHSFB,3904585," $48,295 ",5508,0.0%,61.4%,38.6%
516,37481,Edgewood City,Open,3683,51.40%,1095,434,8.30%,35.30%,,27 miles north of downtown Cincinnati,@EdgewoodFB,3904609," $61,986 ",7127,70.7%,0.0%,29.3%
518,10041,Edison Local (formerly Berlin-Milan),Open,1546,51.40%,434,167,10.70%,29.70%,,50 miles west of downtown Cleveland,@Edison_Football,3904678," $71,744 ",4047,0.0%,36.9%,63.1%
519,18218,Edison Local,Open,1482,50.50%,401,159,2.40%,49.80%,,42 miles southeast of downtown Canton,@EHScatsFootball,3904678," $71,744 ",4047,0.0%,36.9%,63.1%
520,10090,Edon Northwest Local,Open,506,53.60%,141,59,3.60%,42.30%,,66 miles west of downtown Toledo,,3905062," $43,750 ",1565,0.0%,0.0%,100.0%
522,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$9,800 ",5 miles west of downtown Cincinnati,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
524,10173,Elgin Local,Open,989,49.90%,296,116,6.80%,48.80%,,45 miles northwest of downtown Columbus,,3904841," $45,239 ",3043,0.0%,5.8%,94.2%
526,10199,Elida Local,Open,2413,51.00%,688,271,30.30%,50.10%,,70 miles southwest of downtown Toledo,@ElidaFootball,3904577," $51,503 ",8254,78.5%,0.0%,21.5%
528,10272,Akron City,Open,21367,51.10%,6531,2447,66.70%,100.00%,,6 miles east of downtown Akron,@ElletFootball,3904348," $34,562 ",91279,100.0%,0.0%,0.0%
530,10439,Elmwood Local,Open,1227,53.10%,322,130,8.20%,41.00%,,29 miles south of downtown Toledo,,3905068," $58,455 ",2490,0.0%,0.0%,100.0%
532,10462,Elyria City Schools,Open,6117,50.90%,1843,744,47.70%,65.50%,,26 miles west of downtown Cleveland,,3904394," $40,594 ",24528,100.0%,0.0%,0.0%
534,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$8,200 ",24 miles west of downtown Cleveland,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
540,10819,Euclid City,Open,5313,53.20%,1718,701,92.10%,98.60%,,12 miles northeast of downtown Cleveland,@EUCFOOTBALL,3904395," $35,949 ",26039,100.0%,0.0%,0.0%
542,10884,Evergreen Local,Open,1206,52.40%,366,149,8.90%,27.00%,,24 miles west of downtown Toledo,,3904705," $59,430 ",3083,0.0%,0.0%,100.0%
544,10926,Fairbanks Local,Open,1057,49.70%,344,129,6.00%,14.90%,,26 miles northwest of downtown Columbus,@FBPantherFB,3905032," $71,618 ",2455,0.0%,0.2%,99.8%
548,42796,Fairborn City,Open,4166,52.00%,956,407,24.60%,70.30%,,11 miles east of downtown Dayton,@FHS_SKYHAWKS,3904396," $44,802 ",18529,95.2%,0.0%,4.8%
550,11049,Fairfield City,Open,9817,51.20%,2974,1176,40.90%,36.30%,,18 miles north of downtown Cincinnati,,3904610," $64,941 ",26976,100.0%,0.0%,0.0%
553,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$6,400 ",26 miles southeast of downtown Columbus,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
554,11072,Fairfield Union Local,Open,1903,51.20%,595,237,4.10%,33.40%,,32 miles east of downtown Columbus,@RTS_Football,3904687," $55,755 ",3983,0.0%,2.3%,97.7%
556,11114,Fairland Local,Open,1567,50.20%,384,154,4.00%,50.90%,,111 miles southeast of downtown Columbus,,3904793," $53,991 ",4708,66.4%,0.0%,33.6%
560,11171,Fairless Local,Open,1506,51.80%,435,178,5.10%,42.40%,,14 miles southwest of downtown Canton,@FairlessFootbll,3904984," $46,351 ",5136,44.7%,0.0%,55.3%
566,11239,Fairport Harbor Exempted Village,Open,706,45.00%,231,79,21.40%,20.40%,,29 miles northeast of downtown Cleveland,,3904536," $48,346 ",1679,100.0%,0.0%,0.0%
570,11304,Fairview Park City,Open,1794,50.60%,543,199,16.10%,25.90%,,11 miles west of downtown Cleveland,,3904397," $54,938 ",7902,100.0%,0.0%,0.0%
572,11288,Central Local,Open,996,49.10%,282,111,9.50%,33.90%,,58 miles west of downtown Toledo,,3904671," $56,464 ",2500,0.0%,0.0%,100.0%
576,11460,Fayetteville-Perry Local,Open,830,51.60%,255,98,3.40%,39.00%,,32 miles east of downtown Cincinnati,,3904604," $55,855 ",2040,0.0%,0.0%,100.0%
578,11478,Federal Hocking Local,Open,1031,49.90%,263,109,8.10%,99.90%,,75 miles southeast of downtown Columbus,,3904591," $46,795 ",3913,0.0%,1.2%,98.8%
582,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$10,475 ",21 miles south of downtown Dayton,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
584,11551,Field Local,Open,1903,49.30%,486,186,8.80%,23.70%,,11 miles east of downtown Akron,@FieldFalconFtbl,3904919," $55,806 ",6971,79.5%,0.0%,20.5%
586,11627,Findlay City,Open,5690,52.30%,1831,696,20.50%,36.90%,,43 miles south of downtown Toledo,@_FHSFootball,3910000," $46,616 ",19353,0.0%,98.1%,1.9%
588,11668,Finneytown Local,Open,1406,52.00%,391,161,63.50%,40.10%,,10 miles north of downtown Cincinnati,,3904733," $62,591 ",4471,100.0%,0.0%,0.0%
590,11684,Firelands Local,Open,1620,52.80%,490,198,8.30%,30.10%,,35 miles west of downtown Cleveland,,3904815," $62,528 ",4667,30.5%,0.0%,69.5%
592,11692,Akron City,Open,21367,51.10%,6531,2447,66.70%,100.00%,,5 miles northwest of downtown Akron,,3904348," $34,562 ",91279,100.0%,0.0%,0.0%
594,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,27 miles southeast of downtown Columbus,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
598,12591,Fort Frye Local,Open,934,52.60%,259,109,2.50%,47.30%,,78 miles east of downtown Columbus,,3905048," $47,926 ",2965,0.0%,0.0%,100.0%
602,12641,Fort Loramie Local,Open,750,49.20%,211,86,1.50%,5.60%,,43 miles north of downtown Dayton,@LoramieFootball,3904978," $72,026 ",1505,0.0%,41.1%,58.9%
604,12674,Fort Recovery Local,Open,1000,51.50%,284,111,3.50%,7.30%,,56 miles northwest of downtown Dayton,,3904859," $63,333 ",1433,0.0%,0.0%,100.0%
606,12039,Fostoria City,Open,1810,52.30%,468,199,44.30%,75.20%,,35 miles south of downtown Toledo,@fostoria_fb,3904399," $36,043 ",6616,0.0%,94.7%,5.3%
608,12310,Franklin City,Open,2869,51.50%,806,323,6.20%,64.80%,,17 miles southwest of downtown Dayton,,3904400," $50,495 ",8425,93.7%,0.0%,6.3%
610,12328,South-Western City,Open,22839,52.00%,6850,2800,39.80%,57.20%,,7 miles west of downtown Columbus,@fhhs_football,3904480," $52,317 ",55630,92.8%,1.8%,5.4%
614,12450,Fredericktown Local,Open,1206,48.50%,338,133,4.60%,37.00%,,43 miles northeast of downtown Columbus,,3904785," $49,618 ",2950,0.0%,0.0%,100.0%
616,12500,Fremont City,Open,3760,51.90%,1094,452,42.70%,73.60%,,31 miles southeast of downtown Toledo,@football_ross,3904401," $44,655 ",13416,0.0%,77.1%,22.9%
618,12567,Frontier Local,Open,589,52.00%,161,67,2.20%,42.60%,,92 miles south of downtown Canton,,3905049," $39,937 ",2540,0.0%,14.5%,85.5%
620,12773,Galion City,Open,1736,50.40%,394,172,5.90%,62.50%,,56 miles north of downtown Columbus,,3904402," $36,426 ",6457,0.0%,84.6%,15.4%
622,12799,Gallipolis City,Open,2008,52.30%,529,220,10.20%,51.50%,,90 miles southeast of downtown Columbus,,3904403," $41,118 ",6857,0.0%,41.0%,59.0%
624,12849,Garaway Local,Open,1160,52.70%,336,135,5.00%,35.30%,,26 miles southwest of downtown Canton,@GarawayFootball,3905027," $56,353 ",3719,0.0%,0.0%,100.0%
626,NA,Akron City,????,21367,51.10%,6531,2447,66.70%,100.00%,,3 miles southeast of downtown Akron,,3904348," $34,562 ",91279,100.0%,0.0%,0.0%
630,13110,James A Garfield Local,Open,1413,51.00%,420,166,2.10%,34.60%,,27 miles northeast of downtown Akron,@JAGGMENFB,3904920," $49,826 ",3644,0.0%,26.5%,73.5%
632,13136,Garfield Heights City Schools,Open,3646,51.50%,1243,503,83.60%,60.00%,,8 miles southeast of downtown Cleveland,,3904404," $40,930 ",12069,100.0%,0.0%,0.0%
634,13219,Geneva Area City,Open,2410,52.30%,772,309,11.50%,50.70%,,46 miles east of downtown Cleveland,@FbGeneva,3904405," $43,719 ",8022,0.8%,52.0%,47.2%
636,13243,Genoa Area Local,Open,1325,51.50%,382,156,11.20%,29.10%,,13 miles southeast of downtown Toledo,@GenoaCometsFB,3904894," $62,446 ",3501,18.9%,38.3%,42.8%
640,13433,Gibsonburg Exempted Village,Open,913,52.90%,255,110,14.80%,37.00%,,24 miles southeast of downtown Toledo,,3904538," $52,325 ",2234,0.0%,0.0%,100.0%
642,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$32,400 ",14 miles east of downtown Cleveland,@GALancerFB,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
644,13482,Girard City School District,Open,1678,51.70%,547,218,17.40%,57.60%,,7 miles northwest of downtown Youngstown,@GirardFootball,3904406," $39,348 ",5194,100.0%,0.0%,0.0%
646,NA,West Clermont Local,Merged 2016,8206,51.70%,2405,958,10.60%,28.60%,,15 miles east of downtown Cincinnati,,3904635," $56,855 ",29485,98.4%,0.0%,1.6%
650,28365,Plain Local,Open,6163,51.10%,2024,777,27.50%,42.90%,,7 miles north of downtown Canton,@glenoakfootball,3904993," $50,694 ",22060,99.2%,0.0%,0.8%
652,13680,Cleveland Municipal,Open,38666,51.60%,11963,4847,84.30%,100.00%,,6 miles northeast of downtown Cleveland,,3904378," $26,647 ",208325,100.0%,0.0%,0.0%
658,13920,Goshen Local,Open,2817,52.00%,735,302,7.30%,49.60%,,22 miles east of downtown Cincinnati,,3904634," $52,586 ",6163,66.4%,0.0%,33.6%
660,14027,Graham Local,Open,1858,53.20%,571,238,5.70%,31.80%,,31 miles northeast of downtown Dayton,,3904619," $61,676 ",4847,0.0%,0.0%,100.0%
662,14092,Grand Valley Local,Open,1112,52.50%,336,138,5.80%,46.70%,,35 miles northwest of downtown Youngstown,,3904586," $45,944 ",3693,0.0%,0.0%,100.0%
664,14100,Grandview Heights Schools,Open,1097,52.00%,339,131,8.50%,6.90%,,5 miles west of downtown Columbus,@GHtsFootball,3904407," $96,009 ",3399,100.0%,0.0%,0.0%
666,14258,Granville Exempted Village,Open,2470,51.30%,846,322,7.80%,5.00%,,27 miles east of downtown Columbus,,3904539," $105,566 ",4166,56.3%,0.0%,43.7%
667,NA,Private,????,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,20 miles north of downtown Cincinnati,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
668,14373,Green Local,Open,587,50.10%,175,77,3.10%,54.50%,,94 miles east of downtown Cincinnati,,3904961," $42,989 ",1742,0.0%,1.6%,98.4%
670,14365,Green Local,Open,587,50.10%,175,77,3.10%,54.50%,,10 miles southeast of downtown Akron,,3904961," $42,989 ",1742,0.0%,1.6%,98.4%
672,14498,Greeneview Local,Open,1315,50.20%,367,148,5.20%,30.80%,,25 miles east of downtown Dayton,@GviewFootball,3904726," $53,877 ",3365,0.0%,47.3%,52.7%
676,14571,Greenon Local,Open,1512,48.90%,421,158,8.10%,37.40%,,19 miles east of downtown Dayton,,3904623," $58,831 ",5326,60.1%,0.0%,39.9%
678,14621,Greenville City,Open,2551,51.00%,836,314,6.70%,51.10%,,35 miles northwest of downtown Dayton,@Wave_Football,3904409," $39,894 ",10424,0.0%,63.1%,36.9%
680,61325,South-Western City,Open,22839,52.00%,6850,2800,39.80%,57.20%,,9 miles southwest of downtown Columbus,@DAWGPACK_2016,3904480," $52,317 ",55630,92.8%,1.8%,5.4%
681,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$4,998 ",10 miles southwest of downtown Columbus,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
682,14704,Groveport Madison Local,Open,5863,52.90%,1682,723,58.20%,60.70%,,10 miles southeast of downtown Columbus,@CruiserFootball,3904697," $49,077 ",19096,96.9%,0.0%,3.1%
685,036822/000116,Hamilton City,Open,10084,52.10%,2680,1097,33.60%,64.90%,,24 miles north of downtown Cincinnati,@BigBlueFB,3904410," $40,934 ",27580,99.8%,0.0%,0.2%
686,14944,Hamilton Local,Open,3173,51.30%,862,355,24.50%,56.00%,,9 miles south of downtown Columbus,@HTHS_Football,3904695," $49,568 ",5599,97.0%,0.0%,3.0%
690,15214,Marion City,Open,4318,52.60%,969,413,22.00%,100.00%,,45 miles north of downtown Columbus,@PrexyFootball,3904433," $32,553 ",14246,0.0%,100.0%,0.0%
692,15222,Warren City,Open,4940,49.90%,1298,525,58.70%,100.00%,,14 miles northwest of downtown Youngstown,,3904499," $27,888 ",18933,99.5%,0.0%,0.5%
694,15172,Hardin Northern Local,Open,404,55.20%,110,49,2.20%,40.80%,,62 miles south of downtown Toledo,,3904749," $49,128 ",1252,0.0%,0.0%,100.0%
695,NA,Charter,Closed 2008,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,NA,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
696,41368,Southwest Local,Open,3876,51.00%,973,384,7.50%,40.40%,,19 miles northwest of downtown Cincinnati,,3904738," $62,077 ",9613,9.1%,55.4%,35.5%
698,15560,Painesville City Local,Open,2918,53.60%,828,343,78.70%,98.70%,,29 miles northeast of downtown Cleveland,,3910015," $36,716 ",6874,100.0%,0.0%,0.0%
702,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$29,900 ",17 miles east of downtown Cleveland,@HawkenFootball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
704,33084,Delaware City,Open,5615,50.60%,1574,601,18.20%,35.20%,,26 miles north of downtown Columbus,@DelawarePacers,3904387," $56,007 ",14889,93.2%,0.0%,6.8%
706,15792,Heath City,Open,1687,49.30%,496,197,13.20%,40.20%,,31 miles east of downtown Columbus,@HEATHHSFOOTBALL,3904411," $47,243 ",4366,97.8%,0.0%,2.2%
708,16048,Hicksville Exempted Village,Open,923,51.20%,252,103,10.30%,36.40%,,69 miles west of downtown Toledo,,3904541," $46,129 ",2233,0.0%,71.0%,29.0%
710,16154,Highland Local,Open,3172,51.00%,1020,395,5.90%,6.30%,,15 miles northwest of downtown Akron,@scotfootballhhs,3904849," $89,978 ",6467,14.2%,0.0%,85.8%
712,16162,Highland Local,Open,3172,51.00%,1020,395,5.90%,6.30%,,35 miles northeast of downtown Columbus,,3904849," $89,978 ",6467,14.2%,0.0%,85.8%
713,9091,Hilliard City,Open,16147,51.80%,4912,2002,27.00%,19.80%,,13 miles west of downtown Columbus,@BradleyJaguarFB,3904701," $81,579 ",32866,97.6%,0.0%,2.4%
715,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$10,685 ",11 miles north of downtown Cincinnati,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
716,16303,Hilliard City,Open,16147,51.80%,4912,2002,27.00%,19.80%,,12 miles northwest of downtown Columbus,@hdvfootball,3904701," $81,579 ",32866,97.6%,0.0%,2.4%
717,123539,Hilliard City,Open,16147,51.80%,4912,2002,27.00%,19.80%,,12 miles west of downtown Columbus,@HDarbyFootball,3904701," $81,579 ",32866,97.6%,0.0%,2.4%
718,16345,Hillsboro City,Open,2355,51.80%,701,288,11.00%,60.90%,,49 miles east of downtown Cincinnati,,3904412," $39,645 ",7823,0.0%,40.9%,59.1%
720,16352,Hillsdale Local,Open,805,53.30%,236,94,4.20%,35.30%,,43 miles southwest of downtown Akron,,3904582," $56,018 ",2692,0.0%,0.0%,100.0%
722,16436,Millcreek-West Unity Local,Open,532,51.90%,148,62,7.90%,37.60%,,49 miles west of downtown Toledo,,3905063," $40,104 ",1620,0.0%,0.0%,100.0%
724,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$10,975 ",3 miles east of downtown Akron,@HobanFootball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
726,16568,Holgate Local,Open,437,52.20%,130,54,17.40%,31.80%,,42 miles southwest of downtown Toledo,,3904757," $53,097 ",1034,0.0%,0.0%,100.0%
728,NA,Private,Open,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,"$9,550 ",10 miles southwest of downtown Cleveland,@NamerFootball,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
730,16758,North Canton City,Open,4379,51.10%,1593,614,9.80%,16.40%,,8 miles north of downtown Canton,@footballhoover,3904450," $62,391 ",13092,98.4%,0.0%,1.6%
732,16816,Hopewell-Loudon Local,Open,850,49.20%,265,98,8.90%,23.40%,,40 miles southeast of downtown Toledo,,3904970," $71,071 ",1763,0.0%,15.1%,84.9%
736,17004,Howland Local,Open,2615,50.70%,827,320,13.00%,42.20%,,13 miles northwest of downtown Youngstown,@HowlandFootball,3905016," $51,483 ",10743,99.1%,0.0%,0.9%
738,17046,Hubbard Exempted Village,Open,1898,50.70%,585,236,10.30%,39.80%,,6 miles northeast of downtown Youngstown,,3904542," $42,792 ",6239,85.6%,0.0%,14.4%
740,17095,Hudson City,Open,4591,50.10%,1560,581,12.50%,4.50%,,15 miles northeast of downtown Akron,@RollHudFootball,3905002," $120,931 ",8624,89.3%,0.0%,10.7%
742,11609,Cincinnati City,Open,34101,50.80%,8998,3665,75.80%,74.40%,,3 miles north of downtown Cincinnati,,3904375," $35,884 ",177195,100.0%,0.0%,0.0%
744,17160,Huntington Local,Open,1101,51.70%,273,121,3.70%,98.70%,,52 miles south of downtown Columbus,,3904950," $38,819 ",2554,0.0%,0.0%,100.0%
746,17194,Huron City Schools,Open,1352,51.30%,474,189,8.70%,25.70%,,48 miles west of downtown Cleveland,,3904413," $57,890 ",5388,0.0%,82.6%,17.4%
748,67736,Columbus City School District,Open,50304,51.40%,13226,5604,77.00%,100.00%,,9 miles east of downtown Columbus,,3904380," $40,516 ",248000,99.9%,0.0%,0.1%
750,17285,Independence Local,Open,1088,50.00%,354,129,6.60%,7.30%,,11 miles south of downtown Cleveland,,3904656," $84,900 ",2868,93.4%,0.0%,6.6%
751,41848,Indian Creek Local,Open,2117,50.10%,571,223,10.10%,49.60%,,46 miles southeast of downtown Canton,@ICCreekFootball,3904780," $46,909 ",9022,83.0%,0.0%,17.0%
752,17301,Indian Hill Exempted Village,Open,2024,51.30%,627,244,22.40%,4.90%,,12 miles northeast of downtown Cincinnati,@ihdogmen,3904543," $122,500 ",5496,76.9%,0.0%,23.1%
754,17343,Indian Lake Local,Open,1489,51.30%,404,161,8.10%,46.30%,,51 miles northeast of downtown Dayton,,3904808," $44,769 ",8495,0.0%,70.5%,29.5%
758,17426,Indian Valley Local,Open,1757,50.70%,470,190,2.40%,43.90%,,32 miles south of downtown Canton,@IVHS_Football,3905028," $51,069 ",4421,0.0%,26.8%,73.2%
760,17491,Ironton City,Open,1376,50.20%,366,146,11.80%,98.50%,,102 miles south of downtown Columbus,,3904414," $34,547 ",5316,99.6%,0.0%,0.4%
762,17756,Jackson City,Open,2418,52.20%,692,272,4.00%,53.90%,,68 miles south of downtown Columbus,@JHSPolarBearsFB,3904415," $39,095 ",6986,0.0%,48.0%,52.0%
