OHSAA.ID,2018_Full,2017_Full,2016_Full,2015_Full,2014_Full,2013_Full,2012_Full,2011_Full,2010_Full,2009_Full,2008_Full,2007_Full,2018_Main,2017_Main,2016_Main,2015_Main,2014_Main,2013_Main,2012_Main,2011_Main,2010_Main,2009_Main,2008_Main,2007_Main
614,KMAC,KMAC,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,KMAC,KMAC,MOAC,MOAC,MOAC,MOAC,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK,MID BUCK
712,KMAC,KMAC,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - RED,MOAC - RED,MOAC - RED,MOAC - RED,MOAC - RED,MOAC - RED,KMAC,KMAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC
1072,KMAC,KMAC,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,KMAC,KMAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC
1144,KMAC,KMAC,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,MOAC - BLUE,KMAC,KMAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC,MOAC
666,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST
830,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST
868,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,MID ST - CARD,MID ST - CARD,MID ST - CARD,MID ST - CARD,MID ST - CARD,MID ST - CARD,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST
870,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST
1632,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,LICK CNT - BUCK,OCC - CAP,OCC - CAP,OCC - CAP,OCC - CAP,OCC - CAP,OCC - CAP,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,OCC,OCC,OCC,OCC,OCC,OCC
706,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,LICK CNT - CARD,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,MID ST - OHIO,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,LICK CNT,MID ST,MID ST,MID ST,MID ST,MID ST,MID ST
