OHSAA.ID,HyTek,Div.2017,Reg.2017,Conf.2017,ConfSub.2017,County,lon,lat,Enrollment,Mascot,Public,OHSAA.Dist,City,OHSAA.Tourn,OHSAA.Full,AJ.Name,Color1,Color2,Color3,Helm.Left,Helm.Right,Best.Name,Fan50_ID,GenArea,StadID,Surface,Capacity,Stadium,usHOUSE,ohHOUSE,ohSENATE,MaxPreps,Div.2018,Reg.2018,Conf.2018,ConfSub.2018,Yappi,oh_helm,maxpreps_ugly,OHSAA.Address
206,TCB,6,24,XC,XC,miami,-84.0862684,39.9190184,150,Bees,Public,Southwest,Tipp City,TIPP CITY BETHEL,BETHEL,Tipp City Bethel,GREEN,WHITE,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Bethel-2017_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Bethel-2017_R.png",Bethel,team587,southwestern,2162,Grass,867,Bethel Bees Stadium,US House 8,OH House 80,OH Senate 5,"bethel-bees-(tipp-city,oh)",6,24,XC,XC,bethel_tipp_city,bethel,33b9ae9e-989f-4b0b-8405-6bac25ed4e33,"7490 S STATE ROUTE 201, TIPP CITY, OH 45371"
208,BTA,5,20,SBAAC,SBAAC - NAT,clermont,-84.134221,38.9932003,192,Tigers,Public,Southwest,Bethel,BETHEL-TATE,BETHEL-TATE,Bethel-Tate,SCARLET,GRAY,NA,"http://mediaprocessor.websimages.com/width/178/crop/0,0,178x136/ohiohshelmets.webs.com/BethelTate-2017_L.png","http://mediaprocessor.websimages.com/width/178/crop/0,0,178x136/ohiohshelmets.webs.com/BethelTate-2017_R.png",Bethel-Tate,team446,southwestern,1975,Grass,"2,292",Tiger Stadium,US House 2,OH House 66,OH Senate 14,"bethel-tate-tigers-(bethel,oh)",5,20,SBAAC,SBAAC - NAT,bethel-tate_bethel,bethel-tate,67489908-34e1-4c0c-9bf1-b20469007e1a,"3420 ST. RT. 125, BETHEL, OH 45106"
212,COBX,4,15,MID ST,MID ST - OHIO,franklin,-82.9303272,39.963655,259,Lions,Public,Central,Columbus,BEXLEY,BEXLEY,Columbus Bexley,BLUE,WHITE,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Bexley-2017_L.png","http://mediaprocessor.websimages.com/width/179/crop/0,0,179x137/ohiohshelmets.webs.com/Bexley-2017_R.png",Bexley,team331,central,2044,Artificial Turf,"2,742",Bexley High School Stadium,US House 3,OH House 18,OH Senate 15,"bexley-lions-(columbus,oh)",4,15,MID ST,MID ST - OHIO,bexley_columbus,bexley,2ee998dc-0107-4352-a3d3-a57073bb4b3a,"326 S CASSINGHAM RD, COLUMBUS, OH 43209-1806"
214,SBW,2,7,OCC,OCC - CAP,delaware,-82.859706,40.233863,404,Golden Eagles,Public,Central,Sunbury,SUNBURY BIG WALNUT,BIG WALNUT,Sunbury Big Walnut,RED,GOLD,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/BigWalnut-2014_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/BigWalnut-2014_R.png",Big Walnut,team289,central,2022,Grass,"3,247",Big Walnut Stadium,US House 12,OH House 68,OH Senate 19,"big-walnut-golden-eagles-(sunbury,oh)",2,8,OCC,OCC - CAP,big_walnut_sunbury,big-walnut,85bb469e-2480-4841-b3b9-1e31978ae6d3,"555 S OLD 3C HWY, SUNBURY, OH 43074-9507"
218,CBH,3,11,CEN CATH,CEN CATH,franklin,-82.9112425,39.9452768,207,Hawks,Private,Central,Columbus,COLS. BISHOP HARTLEY,BISHOP HARTLEY,Columbus Bishop Hartley,RED,BLUE,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Hartley-2014_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Hartley-2014_R.png",Cols. Bishop Hartley,team423,central,1495,Artificial Turf,"3,600",Jack Ryan Field,US House 3,OH House 26,OH Senate 15,"bishop-hartley-hawks-(columbus,oh)",3,11,CEN CATH,CEN CATH,bishop_hartley_columbus,bishop-hartley,5274c3f3-76e5-4447-87f5-6ddbe2049f5b,"1285 ZETTLER ROAD, COLUMBUS, OH 43227-1914"
220,COR,5,19,MID ST,MID ST - OHIO,franklin,-83.0832793,39.9393045,143,Silver Knights,Private,Central,Columbus,COLS. BISHOP READY,BISHOP READY,Columbus Bishop Ready,BLUE,SILVER,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/BishopReady-2014_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/BishopReady-2014_R.png",Cols. Bishop Ready,team544,central,NA,NA,NA,NA,US House 3,OH House 17,OH Senate 3,"bishop-ready-silver-knights-(columbus,oh)",5,19,MID ST,MID ST - OHIO,bishop_ready_columbus,bishop-ready,8b11f51e-080d-4b95-9431-16d1861fea74,"707 SALISBURY RD, COLUMBUS, OH 43204-2449"
222,ZRO,7,27,MID ST,MID ST - CARD,muskingum,-81.997196,39.9391494,53,Bishops,Private,East,Zanesville,ZANESVILLE BISHOP ROSECRANS,BISHOP ROSECRANS,Zanesville Bishop Rosecrans,RED,BLACK,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Rosecrans-2016_L.png","http://mediaprocessor.websimages.com/width/179/crop/0,0,179x137/ohiohshelmets.webs.com/Rosecrans-2016_R.png",Zane. Bishop Rosecrans,team684,eastern,NA,NA,NA,NA,US House 12,OH House 97,OH Senate 20,"bishop-rosecrans-bishops-(zanesville,oh)",7,27,MID ST,MID ST - CARD,bishop_rosecrans_zanesville,bishop-rosecrans,6ee6d415-ef57-4294-9236-c1de6fa13317,"1040 E MAIN ST, ZANESVILLE, OH 43701-4410"
224,CBW,3,11,CEN CATH,CEN CATH,franklin,-83.0161635,40.0486072,294,Eagles,Private,Central,Columbus,COLS. BISHOP WATTERSON,BISHOP WATTERSON,Columbus Bishop Watterson,CARDINAL,GOLD,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/BishopWatterson-2014_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/BishopWatterson-2014_R.png",Cols. Bishop Watterson,team180,central,1685,Grass,"3,850",Mike Hagley Field,US House 12,OH House 22,OH Senate 19,"bishop-watterson-eagles-(columbus,oh)",3,11,CEN CATH,CEN CATH,bishop_watterson_columbus,bishop-watterson,ef6f1859-cc8b-493e-8157-7d99b19e27e3,"99 E COOKE RD, COLUMBUS, OH 43214-3111"
226,SUBR,5,17,PATRIOT,PATRIOT - STARS,ashland,-82.1734877,41.0567498,163,Pirates,Public,NE Inland,Sullivan,SULLIVAN BLACK RIVER,BLACK RIVER,Sullivan Black River,BLACK,GOLD,NA,"http://mediaprocessor.websimages.com/width/182/crop/0,0,182x138/ohiohshelmets.webs.com/BlackRiver-2017_L.png","http://mediaprocessor.websimages.com/width/181/crop/0,0,181x138/ohiohshelmets.webs.com/BlackRiver-2017_R.png",Black River,team378,northeastern,2159,Grass,"1,625",Black River Pirate Stadium,US House 7,OH House 70,OH Senate 22,"black-river-pirates-(sullivan,oh)",5,17,PATRIOT,PATRIOT - STARS,black_river_sullivan,black-river,3fc31e2e-f2b0-4280-9c84-3bf26f78f74d,"233 COUNTY ROAD 40, SULLIVAN, OH 44880"
228,BLA,5,20,SBAAC,SBAAC - NAT,clinton,-83.9696138,39.2989859,192,Wildcats,Public,Southwest,Blanchester,BLANCHESTER,BLANCHESTER,Blanchester,Navy BLUE,WHITE,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Blanchester-2017_L.png","http://mediaprocessor.websimages.com/width/179/crop/0,0,179x137/ohiohshelmets.webs.com/Blanchester-2017_R.png",Blanchester,team447,southwestern,1997,Grass,"1,242",Blanchester Wildcat Stadium,US House 15,OH House 91,OH Senate 17,"blanchester-wildcats-(blanchester,oh)",5,20,SBAAC,SBAAC - NAT,blanchester_blanchester,blanchester,37b3db65-e060-4b47-9bf1-9e21121f81a2,"953 CHERRY ST, BLANCHESTER, OH 45107"
232,CBC,4,15,MID ST,MID ST - BUCK,fairfield,-82.6958339,39.7917179,258,Bulldogs,Public,Central,Carroll,CARROLL BLOOM-CARROLL,BLOOM-CARROLL,Bloom-Carroll,PURPLE,GOLD,NA,"http://mediaprocessor.websimages.com/width/179/crop/0,0,179x136/ohiohshelmets.webs.com/BloomCarroll-2017_L.png","http://mediaprocessor.websimages.com/width/178/crop/0,0,178x136/ohiohshelmets.webs.com/BloomCarroll-2017_R.png",Bloom-Carroll,team419,central,2036,Artificial Turf,"2,524",Carl Fell Stadium,US House 15,OH House 77,OH Senate 20,"bloom-carroll-bulldogs-(carroll,oh)",4,15,MID ST,MID ST - BUCK,bloom-carroll_carroll,bloom-carroll,cd716fba-8e76-4bbd-afa6-19de7ded9160,"5240 PLUM ROAD, CARROLL, OH 43112-9776"
236,BLUF,6,24,NWC,NWC,allen,-83.8938452,40.892978,130,Pirates,Public,Northwest,Bluffton,BLUFFTON,BLUFFTON,Bluffton,RED,WHITE,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Bluffton-2016_L.png","http://mediaprocessor.websimages.com/width/179/crop/0,0,179x137/ohiohshelmets.webs.com/Bluffton-2016_R.png",Bluffton,team507,northwestern,1896,Grass,"1,851",Harmon Field,US House 4,OH House 4,OH Senate 12,"bluffton-pirates-(bluffton,oh)",6,22,NWC,NWC,bluffton_bluffton,bluffton,c5446a25-b28a-4e19-b4ce-871d38253f1c,"106 W COLLEGE AVE, BLUFFTON, OH 45817-1242"
238,YBO,2,7,ALL AMER,ALL AMER - GOLD,mahoning,-80.6684737,41.0111623,508,Spartans,Public,NE Inland,Youngstown,BOARDMAN,BOARDMAN,Youngstown Boardman,MAROON,WHITE,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Boardman-2017_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Boardman-2014_R.png",Boardman,team029,northeastern,1490,Artificial Turf,"7,500",Spartan Stadium,US House 13,OH House 59,OH Senate 33,"boardman-spartans-(youngstown,oh)",2,5,ALL AMER,ALL AMER - GOLD,boardman_youngstown,boardman,0a3a85f5-59fa-4d92-832d-9c55f98f95ec,"7777 GLENWOOD AVE, YOUNGSTOWN, OH 44512-5824"
242,BGR,3,10,N LAKES,N LAKES,wood,-83.6572849,41.3874566,363,Bobcats,Public,Northwest,Bowling Green,BOWLING GREEN,BOWLING GREEN,Bowling Green,SCARLET,GRAY,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/BowlingGreen-2014_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/BowlingGreen-2014_R.png",Bowling Green,team149,northwestern,1881,Grass,"2,248",Bobcat Stadium,US House 5,OH House 3,OH Senate 2,"bowling-green-bobcats-(bowling-green,oh)",3,10,N LAKES,N LAKES,bowling_green_bowling_green,bowling-green,c7c3973d-4252-4c3d-a07c-dc430606fe66,"530 W POE ROAD, BOWLING GREEN, OH 43402-1213"
244,TBO,2,6,TOL CITY,TOL CITY,lucas,-83.5985032,41.624538,544,Rebels,Public,Northwest,Toledo,TOL. BOWSHER,BOWSHER,Toledo Bowsher,Columbia Blue,RED,WHITE,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Bowsher-2017_L.png","http://mediaprocessor.websimages.com/width/179/crop/0,0,179x137/ohiohshelmets.webs.com/Bowsher-2017_R.png",Tol. Bowsher,team053,northwestern,NA,NA,NA,NA,US House 9,OH House 44,OH Senate 11,"bowsher-rebels-(toledo,oh)",2,6,TOL CITY,TOL CITY,bowsher_toledo,bowsher,aed10b06-3fe8-4706-b99a-5edd9bb2522e,"2200 Arlington Ave., TOLEDO, OH 43614-4441"
246,BRA,7,28,XC,XC,darke,-84.4327573,40.1414277,72,Railroaders,Public,Southwest,Bradford,BRADFORD,BRADFORD,Bradford,ORANGE,BLACK,NA,"http://mediaprocessor.websimages.com/width/181/crop/0,0,181x137/ohiohshelmets.webs.com/Bradford-2017_L.png","http://mediaprocessor.websimages.com/width/179/crop/0,0,179x137/ohiohshelmets.webs.com/Bradford-2017_R.png",Bradford,team686,southwestern,2163,Grass,982,Railroader Stadium,US House 8,OH House 80,OH Senate 5,"bradford-railroaders-(bradford,oh)",7,28,XC,XC,bradford_bradford,bradford,0fcaaf32-3b72-4b27-807f-3f2bb10f7d60,"750 RAILROAD AVE., BRADFORD, OH 45308-1160"
248,BHB,2,5,SUBURBAN,SUBURBAN - NAT,cuyahoga,-81.6444337,41.3272432,528,Bees,Public,NE Lakes,Broadview Hts,BRECKSVILLE-BROADVIEW HTS.,BRECKSVILLE-BROADVIEW HTS,Brecksville-Broadview Heights,RED,GOLD,NA,"http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Brecksville-2014_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Brecksville-2014_R.png",Brecksville-Broadview Hts.,team003,northeastern,1531,Artificial Turf,"3,000",Brecksville-Broadview Stadium,US House 11,OH House 6,OH Senate 24,"brecksville-broadview-heights-bees-(broadview-heights,oh)",2,5,SUBURBAN,SUBURBAN - NAT,brecksville-broadview_hts_broadview_hts,brecksville-broadview-hts,2e138a6a-20a2-41e1-80dc-6921122e3a68,"6380 MILL ROAD, BROADVIEW HEIGHTS, OH 44147-2260"
250,BRI,6,23,OH VAL,OH VAL,belmont,-80.7773807,40.0691947,116,Bulldogs,Public,East,Bridgeport,BRIDGEPORT,BRIDGEPORT,Bridgeport,COLUMBIA BLUE,BLACK,NA,"http://mediaprocessor.websimages.com/width/181/crop/0,0,181x137/ohiohshelmets.webs.com/Bridgeport-2017_L.png","http://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/Bridgeport-2017_R.png",Bridgeport,team660,eastern,1783,Grass,"2,000",Perkins Field,US House 6,OH House 96,OH Senate 30,"bridgeport-bulldogs-(bridgeport,oh)",6,23,OH VAL,OH VAL,bridgeport_bridgeport,bridgeport,b899dd1f-f686-42ad-8640-bece85f93919,"55707 INDUSTRIAL DR, BRIDGEPORT, OH 43912-1516"
