"","Season","Week",""
"158",2017,1,0.18
"184",2017,1,0.06
"292",2017,1,0.23
"330",2017,1,0.06
"352",2017,1,0.18
"402",2017,1,0.36
"476",2017,1,0.62
"526",2017,1,0.2
"608",2017,1,0.18
"658",2017,1,0.01
"678",2017,1,0.05
"998",2017,1,0.69
"1062",2017,1,0.01
"1074",2017,1,0.5
"1108",2017,1,0.32
"1164",2017,1,0.09
"1235",2017,1,0.13
"1258",2017,1,0.15
"1330",2017,1,0
"1412",2017,1,0
"1534",2017,1,0.28
"1550",2017,1,0.91
"1616",2017,1,0.08
"1660",2017,1,0
"1714",2017,1,0.26
"1732",2017,1,0.04
"176",2017,1,0.24
"294",2017,1,0.31
"310",2017,1,0.21
"322",2017,1,0.09
"416",2017,1,0
"448",2017,1,0
"500",2017,1,0.12
"514",2017,1,0
"584",2017,1,0
"644",2017,1,0.26
"702",2017,1,0.01
"738",2017,1,0.52
"774",2017,1,0.03
"828",2017,1,0.11
"1046",2017,1,0.01
"1162",2017,1,0.43
"1246",2017,1,0.77
"1264",2017,1,0.23
"1392",2017,1,0.04
"1432",2017,1,0.03
"1448",2017,1,0.14
"1488",2017,1,0
"1496",2017,1,0.01
"1500",2017,1,0.4
"1580",2017,1,0.04
"1678",2017,1,0.04
"166",2017,1,0
"190",2017,1,0.38
"198",2017,1,0.35
"262",2017,1,0
"272",2017,1,0.04
"346",2017,1,0.2
"378",2017,1,0.08
"380",2017,1,0.13
"570",2017,1,0.09
"590",2017,1,0.27
"620",2017,1,0.02
"712",2017,1,0.26
"804",2017,1,0.05
"808",2017,1,0.1
"914",2017,1,0.06
"1012",2017,1,0.18
"1080",2017,1,0.05
"1206",2017,1,0.04
"1208",2017,1,0.08
"1266",2017,1,0.04
"1314",2017,1,0.28
"1416",2017,1,0.69
"1574",2017,1,0.02
"1596",2017,1,0
"1598",2017,1,0
"1620",2017,1,0.05
"1634",2017,1,0.07
"114",2017,1,0.08
"212",2017,1,0.1
"232",2017,1,0.16
"300",2017,1,0.45
"370",2017,1,0.05
"376",2017,1,0.2
"482",2017,1,0.01
"554",2017,1,0.11
"622",2017,1,0
"758",2017,1,0.29
"788",2017,1,0.02
"830",2017,1,0.01
"870",2017,1,0.22
"882",2017,1,0
"890",2017,1,0.01
"1000",2017,1,0.21
"1008",2017,1,0.25
"1068",2017,1,0.01
"1100",2017,1,0.03
"1252",2017,1,0.19
"1316",2017,1,0.06
"1344",2017,1,0.29
"1568",2017,1,0.22
"1584",2017,1,0.01
"1604",2017,1,0.14
"1676",2017,1,0.04
"1752",2017,1,0.53
"106",2017,1,0.05
"164",2017,1,0
"388",2017,1,0.54
"510",2017,1,0
"582",2017,1,0.31
"660",2017,1,0.03
"742",2017,1,0.04
