X,nonOH_div,ST,School,Best.Name,Helm
2013_10009,7,WV,Buffalo (Putnam),Putnam Buffalo,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Buffalo(WV)-2017_L.png"
2013_13197,5,IN,Lawrenceburg,Lawrenceburg,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Lawrenceburg-2016.png"
2013_11344,5,MI,Hillsdale,Hillsdale,
2013_10045,7,WV,Hundred,Hundred,"https://mediaprocessor.websimages.com/width/179/crop/0,0,179x137/ohiohshelmets.webs.com/Hundred-2017_L.png"
2013_10059,6,WV,Madonna,Madonna,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WeirtonMadonna-2017_L.png"
2013_10573,2,KY,Dixie Heights,Dixie Heights,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_DixieHeights-2016.png"
2013_15010,4,NY,Aquinas Institute,Aquinas Institute,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_AquinasInstitute.png"
2013_12532,2,PA,Cathedral Prep,Cathedral Prep,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CathedralPrep-2016.png"
2013_15007,1,NY,Canisius,Canisius,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Canisius-2016.png"
2013_10083,1,WV,Parkersburg Big Reds,Parkersburg,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Parkersburg-2016.png"
2013_10085,1,WV,Parkersburg South Patriots,Parkersburg South,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ParkersburgSouth-2015_L.png"
2013_25091,2,ON,St. John's,St. John's,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StJohnsCollege-2016.png"
2013_11537,3,MI,Orchard Lake St Mary,Orchard Lake St Mary,
2013_11582,1,MI,Detroit Catholic Central,Detroit Catholic Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_DetroitCC-2016_L.png"
2013_10082,7,WV,Paden City,Paden City,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/PadenCity-2014_L.png"
2013_10079,5,WV,Oak Glen,Oak Glen,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/OakGlen-2017_L.png"
2013_10052,3,WV,John Marshall,John Marshall,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/JohnMarshall-2014_L-1.png"
2013_12494,3,PA,Perry Traditional Academy,Perry Traditional Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_PerryTradional-2016.png"
2013_13102,4,IN,Fort Wayne Bishop Luers,Fort Wayne Bishop Luers,
2013_11508,6,MI,Muskegon Heights,Muskegon Heights,
2013_12497,7,PA,Westinghouse,Westinghouse,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Westinghouse-2017.png"
2013_10128,4,WV,Weir,Weir,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Weir-2015_L.png"
2013_25118,2,ON,Sir Frederick Banting Broncos,Sir Frederick Banting,
2013_12646,4,PA,Imhotep Charter,Imhotep Charter,
2013_28398,1,FL,Naples,Naples,#N/A
2013_11701,2,MI,Warren DeLaSalle,Warren DeLaSalle,
2013_10126,4,WV,Wayne,Wayne,
2013_10709,3,KY,Pendleton County (Falmouth),Falmouth Pendleton County,
2013_28643,1,FL,Park Vista Cobras,Park Vista Cobras,#N/A
2013_9905,0,OH,Cleveland Knights (Club),Cleveland Knights,
2013_10078,7,WV,Notre Dame,Notre Dame,
2013_10724,6,KY,Raceland,Raceland,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Raceland-2016-1.png"
2013_25025,2,ON,Lorne Park,Lorne Park,
2013_13163,1,IN,Indianapolis Arsenal Technical,Indianapolis Arsenal Technical,
2013_10019,6,WV,Doddridge County,Doddridge County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_DoddridgeCounty_Bulldogs-2016.png"
2013_11471,7,MI,Mendon,Mendon,
2013_24382,1,MO,Francis Howell Vikings,Francis Howell,#N/A
2013_13164,4,IN,Indianapolis Bishop Chatard,Indianapolis Bishop Chatard,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BishopChatard-2016.png"
2013_10623,3,KY,Highlands,Highlands,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Highlands-2016.png"
2013_1023,7,OH,Miami Valley Christian Academy Lions,Miami Valley Christian Academy,
2013_9007,7,OH,Horizon Science Academy Jaguars,Horizon Science Academy,"https://mediaprocessor.websimages.com/width/181/crop/0,0,181x139/ohiohshelmets.webs.com/HorizonScience-2016_L.png"
2013_9903,0,OH,Landmark Eagles,Landmark Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Landmark-2015_L.png"
2013_10517,4,KY,Belfry,Belfry,
2013_10200,6,WV,Linsly Cadets,Linsly Cadets,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Linsly-2015_L.png"
2013_15006,4,NY,Bishop Timon Tigers,Bishop Timon,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BishopTimon-2016.png"
2013_13075,2,IN,East Central,East Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_EastCentral-2016.png"
2013_13393,5,IN,Indianapolis Marshall Patriots,Indianapolis Marshall,
2013_10731,4,KY,Russell,Russell,
2013_10506,3,KY,Ashland Blazer,Ashland Blazer,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Ashland-2016.png"
2013_10637,3,KY,Johnson Central,Johnson Central,
2013_12570,5,PA,Sharpsville Blue Devils,Sharpsville,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Sharpsville-2017.png"
2013_13101,3,IN,Fort Wayne Bishop Dwenger,Fort Wayne Bishop Dwenger,
2013_13042,1,IN,Center Grove,Center Grove,
2013_13085,7,IN,Edinburgh,Edinburgh,
2013_10516,6,KY,Beechwood,Beechwood,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Beechwood-2016.png"
2013_10583,7,KY,Eminence,Eminence,
2013_10588,7,KY,Fairview (Ashland),Ashland Fairview,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Fairview-2016.png"
2013_10132,6,WV,Williamstown,Williamstown,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Williamstown(WV)_2016.png"
2013_12489,2,PA,Taylor Allderdice Dragons,Taylor Allderdice,
2013_25132,3,ON,Oakridge,Oakridge,
2014_9901,0,OH,Columbus Crusaders,Columbus Crusaders,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ColumbusCrusaders-2017_L.png"
2014_10040,7,WV,Hannan,Hannan,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Hannan-2017_L.png"
2014_10125,6,WV,Wahama,Wahama,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Wahama-2017_L.png"
2014_13352,7,IN,Union City Community,Union City Community,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_UnionCity-2016.png"
2014_10562,2,KY,Covington Catholic,Covington Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CovingtonCatholic-2016.png"
2014_10756,1,KY,St Xavier (Louisville),Louisville St Xavier,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StX-2016.png"
