X,nonOH_div,ST,School,Best.Name,Helm
2015_667,7,OH,Cincinnati Christian Cougars,Cincinnati Christian,
2015_10770,5,KY,Walton-Verona,Walton-Verona,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_WaltonVerona-2016.png"
2015_1027,0,OH,Middletown Christian (club) Eagles,Middletown Christian Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/MiddletownChristian-2017_L.png"
2015_9910,7,OH,Dohn Community Panthers,Dohn Community,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Dohn-2014_L.png"
2015_10724,6,KY,Raceland,Raceland,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Raceland-2016-1.png"
2015_10691,5,KY,Newport,Newport,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Newport-2016.png"
2015_10082,7,WV,Paden City,Paden City,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/PadenCity-2014_L.png"
2015_10119,5,WV,Tyler Consolidated,Tyler Consolidated,
2015_10548,3,KY,Casey County,Casey County,
2015_9057,5,OH,Riverview East Academy Hawks,Riverview East Academy,
2015_13266,7,IN,Oldenburg Academy,Oldenburg Academy,
2015_9901,0,OH,Columbus Crusaders (club),Columbus Crusaders,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ColumbusCrusaders-2017_L.png"
2015_25210,4,ON,Ontario Prospect Academy Dawgs,Ontario Prospect Academy,
2015_14801,3,MD,Gilman School,Gilman School,#N/A
2015_17508,2,NJ,Saint Joseph Regional,Saint Joseph Regional,#N/A
2015_17509,2,NJ,Bergen Catholic,Bergen Catholic,#N/A
2015_28114,2,FL,Cocoa,Cocoa,#N/A
2015_28345,1,FL,Mainland,Mainland,#N/A
2015_10562,2,KY,Covington Catholic,Covington Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CovingtonCatholic-2016.png"
2015_11676,1,MI,Temperance Bedford,Temperance Bedford,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Bedford(MI)-2016.png"
2015_12838,1,PA,Saint Joseph's Prep Hawks,Saint Joseph's Prep,
2015_10059,7,WV,Madonna,Madonna,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WeirtonMadonna-2017_L.png"
2015_10078,7,WV,Notre Dame,Notre Dame,
2015_10123,7,WV,Valley (Wetzel),Wetzel Valley,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Valley-2017_L-1.png"
2015_10129,6,WV,Wheeling Central Catholic,Wheeling Central Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WheelingCentral-2015_L.png"
2015_11413,2,MI,Lansing Everett,Lansing Everett,
2015_13168,3,IN,Indianapolis Emmerich Manual,Indianapolis Emmerich Manual,
2015_13360,1,IN,Warren Central,Warren Central,
2015_10756,1,KY,St Xavier (Louisville),Louisville St Xavier,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StX-2016.png"
2015_14917,5,DC,Archbishop Carroll,Archbishop Carroll,#N/A
2015_25099,1,ON,St Thomas More,St Thomas More,
2015_13401,7,IN,Rock Creek Community Lions,Rock Creek Community,
2015_10528,3,KY,Boyd County,Boyd County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BoydCounty-2016.png"
2015_12530,1,PA,McDowell,McDowell,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_McDowell-2016.png"
2015_14918,2,DC,St John's College,St John's College,#N/A
2015_10007,3,WV,Brooke,Brooke,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Brooke-2015_L.png"
2015_15000,6,NY,Cardinal O'Hara Hawks,Cardinal O'Hara,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CardinalOHara-2016.png"
2015_12548,4,PA,Sharon,Sharon,
2015_10009,6,WV,Buffalo (Putnam),Putnam Buffalo,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Buffalo(WV)-2017_L.png"
2015_10626,5,KY,Holy Cross (Covington),Covington Holy Cross,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_HolyCross-2016.png"
2015_13197,3,IN,Lawrenceburg,Lawrenceburg,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Lawrenceburg-2016.png"
2015_10128,3,WV,Weir,Weir,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Weir-2015_L.png"
2015_12801,6,PA,Kiski Prep,Kiski Prep,
2015_25087,2,ON,North Park,North Park,
2015_9900,5,OH,Western Reserve Academy Pioneers,Western Reserve Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WRA-2017_L.png"
2015_11225,6,MI,Ecorse,Ecorse,
2015_15008,2,NY,St Francis Red Raiders,St Francis,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StFrancis-2016.png"
2015_10085,2,WV,Parkersburg South Patriots,Parkersburg South,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ParkersburgSouth-2015_L.png"
2015_10083,1,WV,Parkersburg Big Reds,Parkersburg,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Parkersburg-2016.png"
2015_10018,7,WV,Clay-Battelle,Clay-Battelle,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ClayBettele-2015__L.png"
2015_25119,2,ON,East Elgin,East Elgin,
2015_10544,1,KY,Campbell County,Campbell County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CampbellCounty-2016.png"
2015_11582,1,MI,Detroit Catholic Central,Detroit Catholic Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_DetroitCC-2016_L.png"
2015_13164,3,IN,Indianapolis Bishop Chatard,Indianapolis Bishop Chatard,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BishopChatard-2016.png"
2015_24373,1,MO,Rock Bridge,Rock Bridge,#N/A
2015_1128,0,OH,North Adams (club) Green Devils,North Adams Green Devils,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/NorthAdams-2017_L.png"
2015_9903,0,OH,Landmark Eagles (club),Landmark Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Landmark-2015_L.png"
2015_10079,4,WV,Oak Glen,Oak Glen,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/OakGlen-2017_L.png"
2015_10052,2,WV,John Marshall,John Marshall,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/JohnMarshall-2014_L-1.png"
2015_10084,7,WV,Parkersburg Catholic,Parkersburg Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_ParkCath-2017_L.png"
2015_9911,0,OH,Reigning Sports Academy (club) Thunder,Reigning Sports Academy Thunder,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ReigningThunder-2016_L.png"
2015_13139,1,IN,Hamilton Southeastern,Hamilton Southeastern,
2015_10013,6,WV,Cameron,Cameron,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Cameron-2014-L.png"
2015_14804,1,MD,Mount St Joseph,Mount St Joseph,#N/A
2015_10003,7,WV,Bishop Donahue,Bishop Donahue,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/BishopDonahue-2014_L.png"
2015_15087,1,NY,Lancaster Legends,Lancaster,#N/A
2015_172,7,OH,Beallsville Blue Devils,Beallsville,
2015_10531,4,KY,Breathitt County,Breathitt County,
2015_13159,3,IN,Indian Creek,Indian Creek,
2015_10588,6,KY,Fairview (Ashland),Ashland Fairview,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Fairview-2016.png"
2015_12559,5,PA,Wilmington Greyhounds,Wilmington,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_WilmingtonArea-2017_L.png"
2015_10738,1,KY,Scott County,Scott County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_ScottCounty-2016.png"
2015_17526,4,NJ,DePaul Catholic,DePaul Catholic,#N/A
2015_25121,3,ON,London South Lions,London South,
2015_10637,2,KY,Johnson Central,Johnson Central,
2015_10114,5,WV,Tolsia,Tolsia,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Tolsia-2017_L.png"
2015_10134,6,WV,Wirt County,Wirt County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_WirtCounty_Tigers.png"
2015_10093,3,WV,Point Pleasant Big Blacks,Point Pleasant,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_PointPleasant-2016.png"
2015_15004,6,NY,Saint Mary's Lancers,Saint Mary's,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StMarys-2016.png"
2015_1694,0,OH,West Union (club) Dragons,West Union Dragons,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WestUnion-2014_L.png"
2015_13075,2,IN,East Central,East Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_EastCentral-2016.png"
2015_11466,7,MI,Mayville,Mayville,
2015_13151,4,IN,Heritage,Heritage,
2015_10731,4,KY,Russell,Russell,
2015_10516,6,KY,Beechwood,Beechwood,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Beechwood-2016.png"
2015_10506,3,KY,Ashland Blazer,Ashland Blazer,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Ashland-2016.png"
2015_13035,1,IN,Carmel,Carmel,
2015_13547,1,TN,Christian Brothers,Christian Brothers,#N/A
2015_13385,4,IN,Woodlan,Woodlan,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Woodlan-2016.png"
2015_13023,5,IN,Bluffton,Bluffton,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Bluffton(IN)-2016.png"
2015_25091,2,ON,St. John's,St. John's,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StJohnsCollege-2016.png"
2015_10132,6,WV,Williamstown,Williamstown,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Williamstown(WV)_2016.png"
2016_10573,1,KY,Dixie Heights,Dixie Heights,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_DixieHeights-2016.png"
2016_9057,5,OH,Riverview East Academy Hawks,Riverview East Academy,
2016_10125,7,WV,Wahama Falcons,Wahama,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Wahama-2017_L.png"
2016_9911,0,OH,Reigning Sports Academy (club) Thunder,Reigning Sports Academy Thunder,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ReigningThunder-2016_L.png"
2016_13352,6,IN,Union City Indians,Union City Community,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_UnionCity-2016.png"
2016_17504,1,NJ,Don Bosco Prep,Don Bosco Prep,#N/A
2016_25227,7,ON,Royal Imperial Collegiate Knights,Royal Imperial Collegiate,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_RoyalImperialCollegiate-2016.png"
2016_10200,6,WV,Linsly Cadets,Linsly Cadets,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Linsly-2015_L.png"
2016_10524,6,KY,Bishop Brossart Mustangs,Bishop Brossart,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BishopBrossart-2016.png"
2016_10060,5,WV,Magnolia,Magnolia,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Magnolia-2017_L.png"
2016_25228,3,ON,Football North (via Clarkson SS),Clarkson Seconday,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_FootballNorth-2016_L.png"
2016_10570,7,KY,Dayton,Dayton,
2016_9910,7,OH,Dohn Community Panthers,Dohn Community,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Dohn-2014_L.png"
2016_10770,5,KY,Walton-Verona Bearcats,Walton-Verona,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_WaltonVerona-2016.png"
2016_10562,2,KY,Covington Catholic Colonels,Covington Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CovingtonCatholic-2016.png"
2016_12359,1,PA,North Allegheny,North Allegheny,
2016_25099,1,ON,St Thomas More Knights,St Thomas More,
2016_10724,6,KY,Raceland Rams,Raceland,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Raceland-2016-1.png"
2016_9901,0,OH,Columbus Crusaders (club),Columbus Crusaders,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ColumbusCrusaders-2017_L.png"
2016_12390,1,PA,Pine-Richland,Pine-Richland,
2016_21506,1,IL,Naperville Central Redhawks,Naperville Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_NapervilleCentral-2016.png"
2016_12835,1,PA,West Catholic,West Catholic,
2016_25173,7,ON,Canada Prep Spartans,Canada Prep,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CanadaPrep-2016.png"
2016_11676,1,MI,Bedford Mules,Temperance Bedford,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Bedford(MI)-2016.png"
2016_11582,1,MI,Detroit Catholic Central,Detroit Catholic Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_DetroitCC-2016_L.png"
2016_9900,5,OH,Western Reserve Academy Pioneers,Western Reserve Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WRA-2017_L.png"
2016_29779,1,CA,St John Bosco Braves,St John Bosco,#N/A
2016_13167,2,IN,Cathedral Fighting Irish,Indianapolis Cathedral,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Cathedral-2016.png"
2016_13360,1,IN,Warren Central Warriors,Warren Central,
2016_10756,1,KY,St Xavier (Louisville) Tigers,Louisville St Xavier,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StX-2016.png"
2016_9915,0,OH,Middletown Christian (club) Eagles,Middletown Christian Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/MiddletownChristian-2017_L.png"
2016_11016,4,MI,Ann Arbor Gabriel Richard,Ann Arbor Gabriel Richard,
2016_10129,6,WV,Wheeling Central Catholic,Wheeling Central Catholic,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WheelingCentral-2015_L.png"
2016_10003,7,WV,Bishop Donahue,Bishop Donahue,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/BishopDonahue-2014_L.png"
2016_11761,1,MI,Ann Arbor Skyline Eagles,Ann Arbor Skyline,
2016_10018,7,WV,Clay-Battelle Cee Bees,Clay-Battelle,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ClayBettele-2015__L.png"
2016_10101,3,WV,Roane County,Roane County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_RoaneCounty(WV)_L.png"
2016_10528,3,KY,Boyd County Lions,Boyd County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BoydCounty-2016.png"
2016_12530,1,PA,McDowell,McDowell,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_McDowell-2016.png"
2016_14908,1,DC,Wilson Tigers,Wilson,#N/A
2016_12645,3,PA,University Prep (USO co-op) Wildcats,University Prep,
2016_15000,6,NY,Cardinal O'Hara Hawks,Cardinal O'Hara,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CardinalOHara-2016.png"
2016_10082,7,WV,Paden City Wildcats,Paden City,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/PadenCity-2014_L.png"
2016_10009,6,WV,Buffalo Bison,Putnam Buffalo,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Buffalo(WV)-2017_L.png"
2016_10626,5,KY,Holy Cross,Covington Holy Cross,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_HolyCross-2016.png"
2016_13197,3,IN,Lawrenceburg Tigers,Lawrenceburg,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Lawrenceburg-2016.png"
2016_10059,7,WV,Madonna Blue Dons,Madonna,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WeirtonMadonna-2017_L.png"
2016_13366,6,IN,Wes-Del Warriors,Wes-Del,
2016_13059,6,IN,Covenant Christian Warriors,Covenant Christian,
2016_10128,3,WV,Weir Red Riders,Weir,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Weir-2015_L.png"
2016_12801,6,PA,Kiski Prep Cougars,Kiski Prep,
2016_10714,6,KY,Pikeville Panthers,Pikeville,
2016_1386,7,OH,St Wendelin Mohawks,St Wendelin,
2016_11225,6,MI,Ecorse,Ecorse,
2016_15008,2,NY,St Francis Red Raiders,St Francis,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StFrancis-2016.png"
2016_10085,2,WV,Parkersburg South Patriots,Parkersburg South,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ParkersburgSouth-2015_L.png"
2016_10079,4,WV,Oak Glen Golden Bears,Oak Glen,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/OakGlen-2017_L.png"
2016_10083,1,WV,Parkersburg Big Reds,Parkersburg,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Parkersburg-2016.png"
2016_10517,3,KY,Belfry Pirates,Belfry,
2016_12825,2,PA,Archbishop Wood,Archbishop Wood,
2016_10544,1,KY,Campbell County,Campbell County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CampbellCounty-2016.png"
2016_13164,3,IN,Bishop Chatard Trojans,Indianapolis Bishop Chatard,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BishopChatard-2016.png"
2016_10032,6,WV,Gilmer County Titans,Gilmer County,
2016_10040,7,WV,Hannan Wildcats,Hannan,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Hannan-2017_L.png"
2016_10052,2,WV,John Marshall Monarchs,John Marshall,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x137/ohiohshelmets.webs.com/JohnMarshall-2014_L-1.png"
2016_12532,2,PA,Cathedral Prep Ramblers,Cathedral Prep,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_CathedralPrep-2016.png"
2016_10013,6,WV,Cameron Dragons,Cameron,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Cameron-2014-L.png"
2016_15007,1,NY,Canisius,Canisius,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Canisius-2016.png"
2016_14906,5,DC,Roosevelt Rough Riders,Roosevelt,#N/A
2016_12481,7,PA,Farrell,Farrell,
2016_15006,5,NY,Bishop Timon - St Jude Tigers,Bishop Timon,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BishopTimon-2016.png"
2016_25121,4,ON,London South Lions,London South,
2016_10531,4,KY,Breathitt County Bobcats,Breathitt County,
2016_12539,3,PA,Oil City,Oil City,
2016_12553,5,PA,Mercyhurst Prep,Mercyhurst Prep,
2016_12546,4,PA,Titusville,Titusville,
2016_12541,3,PA,Corry,Corry,
2016_12537,3,PA,Harbor Creek,Harbor Creek,
2016_12551,4,PA,Girard,Girard,
2016_12557,4,PA,Fairview,Fairview,
2016_10045,7,WV,Hundred Hornets,Hundred,"https://mediaprocessor.websimages.com/width/179/crop/0,0,179x137/ohiohshelmets.webs.com/Hundred-2017_L.png"
2016_9903,0,OH,Landmark Eagles (club),Landmark Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Landmark-2015_L.png"
2016_10738,1,KY,Scott County Cardinals,Scott County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_ScottCounty-2016.png"
2016_28656,7,FL,International School of Broward Pumas,International School of Broward,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_InternationalSchool_2017.png"
2016_10691,5,KY,Newport Wildcats,Newport,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Newport-2016.png"
2016_10134,6,WV,Wirt County Tigers,Wirt County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_WirtCounty_Tigers.png"
2016_10123,7,WV,Valley (Wetzel) Lumberjacks,Wetzel Valley,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Valley-2017_L-1.png"
2016_10093,3,WV,Point Pleasant Black Knights,Point Pleasant,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_PointPleasant-2016.png"
2016_15004,6,NY,Saint Mary's Lancers,Saint Mary's,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StMarys-2016.png"
2016_14289,1,VA,Woodside,Woodside,#N/A
2016_9913,0,OH,West Union (club) Dragons,West Union Dragons,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WestUnion-2014_L.png"
2016_13075,2,IN,East Central Trojans,East Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_EastCentral-2016.png"
2016_13117,3,IN,Franklin County Wildcats,Franklin County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_FranklinCounty-2016.png"
2016_12548,4,PA,Sharon Tigers,Sharon,
2016_12494,4,PA,Perry Traditional Academy,Perry Traditional Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_PerryTradional-2016.png"
2016_10007,3,WV,Brooke Bruins,Brooke,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Brooke-2015_L.png"
2016_10731,4,KY,Russell Red Devils,Russell,
2016_10506,3,KY,Ashland Blazer Tomcats,Ashland Blazer,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Ashland-2016.png"
2016_10011,1,WV,Cabell Midland,Cabell Midland,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Midland-2016.png"
2016_12512,6,PA,Keystone,Keystone,
2016_25104,2,ON,Cathedral Gaels,Cathedral,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Cathedral(CN)-2016_L.png"
2016_13547,1,TN,Christian Brothers,Christian Brothers,#N/A
2016_13385,4,IN,Woodlan Warriors,Woodlan,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Woodlan-2016.png"
2016_13023,5,IN,Bluffton Tigers,Bluffton,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Bluffton(IN)-2016.png"
2016_25091,2,ON,St. John's Eagles,St. John's,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StJohnsCollege-2016.png"
2016_9007,7,OH,Horizon Science Academy Jaguars,Horizon Science Academy,"https://mediaprocessor.websimages.com/width/181/crop/0,0,181x139/ohiohshelmets.webs.com/HorizonScience-2016_L.png"
2016_1207,0,OH,Open Door Christian Patriots,Open Door Christian,"https://mediaprocessor.websimages.com/width/183/crop/0,0,183x140/ohiohshelmets.webs.com/OpenDoor-2017_L.png"
2016_10132,6,WV,Williamstown YellowJackets,Williamstown,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Williamstown(WV)_2016.png"
2016_10105,5,WV,St Marys Blue Devils,St Marys,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_StMarys-2017_L.png"
2016_12492,3,PA,Carrick,Carrick,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Carrick-2017_L.png"
2017_9915,0,OH,Middletown Christian (club) Eagles,Middletown Christian Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/MiddletownChristian-2017_L.png"
2017_10093,3,WV,Point Pleasant Big Blacks,Point Pleasant,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_PointPleasant-2016.png"
2017_10573,2,KY,Dixie Heights,Dixie Heights,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_DixieHeights-2016.png"
2017_10125,7,WV,Wahama Falcons,Wahama,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Wahama-2017_L.png"
2017_13352,7,IN,Union City Indians,Union City Community,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_UnionCity-2016.png"
2017_10762,1,KY,Trinity (Louisville),Louisville Trinity,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Trinity-2016_L.png"
2017_10738,1,KY,Scott County Cardinals,Scott County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_ScottCounty-2016.png"
