X,nonOH_div,ST,School,Best.Name,Helm
2018_10528,NA,KY,Boyd County,Boyd County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_BoydCounty-2016.png"
2018_12650,NA,PA,Erie Royals,Erie Royals,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Erie(PA)-2017.png"
2018_10071,NA,WV,Morgantown,Morgantown,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Morgantown-2015_L.png"
2018_11542,NA,MI,Ottawa Lake-Whiteford,Ottawa Lake-Whiteford,
2018_21207,NA,IL,Simeon,Simeon,
2018_9918,NA,OH,COF Academy,COF Academy,
2018_11582,NA,MI,Detroit Catholic Central,Detroit Catholic Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_DetroitCC-2016_L.png"
2018_9900,NA,OH,Western Reserve Academy Pioneers,Western Reserve Academy,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/WRA-2017_L.png"
2018_9916,NA,OH,KIPP Columbus,KIPP Columbus,
2018_14921,NA,DC,Bell,Bell,
2018_9911,NA,OH,Reigning Sports Academy (club) Thunder,Reigning Sports Academy Thunder,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/ReigningThunder-2016_L.png"
2018_10079,NA,WV,Oak Glen,Oak Glen,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/OakGlen-2017_L.png"
2018_17548,NA,NJ,Timber Creek,Timber Creek,
2018_12347,NA,PA,Bishop Carroll,Bishop Carroll,
2018_13167,NA,IN,Indianapolis Cathedral,Indianapolis Cathedral,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Cathedral-2016.png"
2018_10601,NA,KY,Gallatin County,Gallatin County,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_GallatinCounty-2016_L.png"
2018_10040,NA,WV,Hannan,Hannan,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_Hannan-2017_L.png"
2018_13075,NA,IN,East Central,East Central,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/_EastCentral-2016.png"
2018_10731,NA,KY,Russell,Russell,
2018_9903,NA,OH,Landmark Eagles,Landmark Eagles,"https://mediaprocessor.websimages.com/width/180/crop/0,0,180x138/ohiohshelmets.webs.com/Landmark-2015_L.png"
2007_13490,NA,IN,Indiana Lions (club),Indiana Lions,
